,FLARE_TYPE,COINCIDENCE,MEANJZD_1,MEANJZD_2,MEANJZD_3,MEANJZD_4,MEANJZD_5,MEANJZD_6,MEANJZD_7,MEANJZD_8,MEANJZD_9,MEANJZD_10,MEANJZD_11,MEANJZD_12,MEANJZD_13,MEANJZD_14,MEANJZD_15,MEANJZD_16,MEANJZD_17,MEANJZD_18,MEANJZD_19,MEANJZD_20,MEANJZD_21,MEANJZD_22,MEANJZD_23,MEANJZD_24,MEANJZD_25,MEANJZD_26,MEANJZD_27,MEANJZD_28,MEANJZD_29,MEANJZD_30,MEANJZD_31,MEANJZD_32,MEANJZD_33,MEANJZD_34,MEANJZD_35,MEANJZD_36,MEANJZD_37,MEANJZD_38,MEANJZD_39,MEANJZD_40
0,X,False,0.11124,0.10488,0.13981,0.18104,0.14171,0.14921,0.1414,0.1156,0.10094,0.058417,0.050833,0.079978,0.074147,0.10393,0.053482,0.078941,0.10347,0.11805,0.090701,0.10454,0.14531,0.12543,0.085599,0.085734,0.1195,0.098516,0.12791,0.084595,0.12962,0.1304,0.18751,0.1413,0.14815,0.15183,0.1491,0.036511,0.070017,-0.012525,0.021894,0.022669
1,X,False,0.39676,0.45178,0.47101,0.44905,0.42835,0.50758,0.46046,0.51279,0.41747,0.47587,0.45755,0.48959,0.40291,0.43219,0.43272,0.4399,0.38031,0.41706,0.44645,0.36111,0.35767,0.4354,0.41381,0.31808,0.38763,0.34741,0.28981,0.20218,0.27481,0.26081,0.23599,0.2834,0.25691,0.22409,0.24269,0.2706,0.26414,0.28043,0.26866,0.23582
2,X,False,0.066541,0.064499,0.027927,0.045047,0.046233,0.02813,-0.013745,0.0088658,0.051629,0.039532,0.040438,0.026534,0.052211,0.050822,0.02838,0.10456,0.053616,0.097838,0.11577,0.062239,0.056641,0.056399,0.069425,0.03722,0.050449,0.085085,0.029573,0.04037,0.061253,0.065533,0.066442,0.088051,0.061708,0.070752,0.080307,0.091358,0.037542,0.069611,0.067042,0.022424
3,X,False,0.37759,0.43689,0.44408,0.47136,0.42905,0.37456,0.38685,0.41699,0.34251,0.34819,0.34015,0.33258,0.35988,0.23711,0.36597,0.34606,0.33831,0.31805,0.38744,0.34264,0.34038,0.24972,0.23909,0.32518,0.30942,0.31687,0.22487,0.28321,0.23113,0.16649,0.27917,0.19972,0.2535,0.25068,0.25874,0.19551,0.27948,0.089171,0.31614,0.29214
4,X,True,0.2471,0.16808,0.27453,0.22309,0.24328,0.27617,0.12947,0.33043,0.31094,0.33664,0.27674,0.25237,0.25501,0.26727,0.26438,0.20768,0.24027,0.26776,0.31576,0.28328,0.2912,0.18205,0.22297,0.18925,0.22136,0.28717,0.16361,0.18188,0.21853,0.25865,0.2768,0.28364,0.33347,0.31361,0.24369,0.36744,0.29036,0.30701,0.38156,0.42993
5,X,False,-0.028996,-0.0033343,-0.050259,-0.0084686,0.069043,-0.039216,-0.02834,-0.024848,-0.027795,-0.035258,-0.003619,-0.018361,0.03001,0.014382,0.02274,0.019027,0.021931,0.041026,0.040051,-0.0071426,0.017641,-0.017557,-0.011438,-0.032872,-0.053903,-0.037704,-0.036935,-0.025974,-0.023035,-0.0029742,-0.024126,0.019773,-0.027831,-0.011487,-0.041282,0.0016855,-0.040131,-0.0072684,-0.00082794,-0.01984
6,X,True,0.088182,0.068162,-0.0069056,0.068125,0.074085,0.040607,0.034446,0.038883,0.070209,0.067126,0.063152,0.11083,0.085462,0.099266,0.092295,0.070037,0.088022,0.083541,0.11864,0.18824,0.089109,0.13309,0.11817,0.11947,0.11369,0.03281,0.02639,0.04694,-0.013252,-0.017575,0.023328,-0.002719,0.047137,0.021757,0.061314,0.082043,0.016808,0.08577,0.063437,0.038823
7,X,False,0.24945,0.26023,0.25616,0.27467,0.25066,0.24144,0.26593,0.25406,0.25838,0.23582,0.25886,0.23168,0.23943,0.23589,0.257,0.26447,0.24421,0.24365,0.28186,0.24067,0.26859,0.26107,0.26049,0.29011,0.21199,0.27966,0.26049,0.24207,0.26042,0.23194,0.25718,0.24159,0.22173,0.20605,0.24274,0.24955,0.25154,0.21935,0.20485,0.23414
8,X,False,-0.084806,-0.089071,-0.057105,-0.099041,-0.057116,-0.19815,-0.027689,-0.16862,-0.23121,-0.13771,-0.21934,-0.037661,-0.26654,-0.25246,-0.15323,-0.15689,-0.11666,-0.14875,-0.12568,-0.10097,-0.054837,-0.087648,-0.11049,-0.072173,-0.13178,-0.048744,-0.075989,-0.0682,-0.049655,-0.086352,-0.021172,-0.077032,-0.13387,-0.0079508,-0.067452,-0.16671,-0.14052,-0.12061,-0.055264,-0.16194
9,X,True,0.13647,0.18064,0.17251,0.18773,0.12359,0.12625,0.12006,0.1204,0.081548,0.11088,0.13423,0.1041,0.081191,0.10223,0.13046,0.20637,0.15138,0.14568,0.16363,0.17444,0.15698,0.15172,0.13185,0.13451,0.11589,0.11664,0.13357,0.099122,0.077091,0.020682,0.014185,0.020338,0.056631,0.044852,0.0074565,0.048119,0.059106,0.060854,0.082137,0.0441
