index,time_start,time_peak,time_end,nar,xray_class,COINCIDENCE,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,R_VALUE,AREA_ACR,g_s,slf,d_l_f
0,2010-05-05 17:13:00,2010-05-05 17:19:00,2010-05-05 17:22:00,11069,M,False,6.3535e+21,40.991,116.61,126.62,64.271,-0.12251,12038000000000.0,-0.026638,758.57,246.62,8513500000000.0,5994.1,7.3714e+22,33.955,22.981,4.0809,186.77,2535.0,16.206,112.17
1,2010-06-12 00:30:00,2010-06-12 00:57:00,2010-06-12 01:02:00,11081,M,False,,,,,,,,,,,,,,,,,,,,
2,2010-06-13 05:30:00,2010-06-13 05:39:00,2010-06-13 05:44:00,11079,M,False,,,,,,,,,,,,,,,,,,,,
3,2010-08-07 17:55:00,2010-08-07 18:24:00,2010-08-07 18:47:00,11093,M,False,1.4522e+22,37.072,95.435,95.497,41.102,-0.24577,17647000000000.0,-0.0055553,928.03,122.11,2922100000000.0,7614.5,2.2229e+23,31.912,21.418,3.7331,481.15,673.55,18.98,197.71
4,2010-10-16 19:07:00,2010-10-16 19:12:00,2010-10-16 19:15:00,11112,M,False,1.0734e+22,37.305,135.68,136.97,65.779,0.45091,18138000000000.0,0.00089475,908.43,15.017,3956500000000.0,3675.4,8.1929e+22,28.707,14.626,3.9157,702.11,1097.1,15.018,92.97
5,2010-11-04 23:30:00,2010-11-04 23:58:00,2010-11-05 00:12:00,11121,M,False,,,,,,,,,,,,,,,,,,,,
6,2010-11-05 12:43:00,2010-11-05 13:29:00,2010-11-05 14:06:00,11121,M,True,,,,,,,,,,,,,,,,,,,,
7,2010-11-06 15:27:00,2010-11-06 15:36:00,2010-11-06 15:44:00,11121,M,False,,,,,,,,,,,,,,,,,,,,
8,2011-01-28 00:44:00,2011-01-28 01:03:00,2011-01-28 01:10:00,11149,M,False,,,,,,,,,,,,,,,,,,,,
9,2011-02-09 01:23:00,2011-02-09 01:31:00,2011-02-09 01:35:00,11153,M,False,,,,,,,,,,,,,,,,,,,,
10,2011-02-13 17:28:00,2011-02-13 17:38:00,2011-02-13 17:47:00,11158,M,False,7.4125e+21,56.931,117.89,120.45,76.73,0.025285,16914000000000.0,0.0050137,769.35,69.059,858650000000.0,6089.9,1.1141e+23,44.395,41.089,3.7083,365.64,6074.4,16.541,170.08
11,2011-02-14 17:20:00,2011-02-14 17:26:00,2011-02-14 17:32:00,11158,M,True,2.0444e+22,60.057,103.52,115.13,76.74,0.092262,47392000000000.0,0.024124,2761.5,796.95,15159000000000.0,14770.0,6.4805e+23,50.808,55.937,4.8296,891.58,76298.0,8.726,172.51
12,2011-02-16 07:35:00,2011-02-16 07:44:00,2011-02-16 07:55:00,11161,M,False,1.354e+22,39.229,104.19,110.95,55.742,-0.32533,22435000000000.0,-0.010227,1151.9,211.9,7299200000000.0,4444.0,1.2228e+23,32.938,19.821,4.2698,426.71,2011.5,17.023,134.34
13,2011-02-16 14:19:00,2011-02-16 14:25:00,2011-02-16 14:29:00,11158,M,False,2.6921e+22,57.525,96.334,106.85,69.499,0.18869,53647000000000.0,0.025929,3183.2,1053.0,32853000000000.0,15354.0,8.2811e+23,49.934,56.541,4.8326,1103.9,72465.0,8.2597,182.96
14,2011-02-18 09:55:00,2011-02-18 10:11:00,2011-02-18 10:15:00,11158,M,False,3.2514e+22,47.826,101.33,110.89,61.964,-0.018995,53410000000000.0,0.015445,3153.1,707.05,26022000000000.0,10909.0,6.6325e+23,40.848,37.211,5.0267,1120.8,38807.0,10.189,206.27
15,2011-02-18 10:23:00,2011-02-18 10:26:00,2011-02-18 10:37:00,11162,M,False,1.4139e+22,50.098,109.77,111.36,65.371,0.41386,25710000000000.0,-0.0082012,1253.5,182.33,4725500000000.0,9630.3,2.8435e+23,41.55,39.369,4.0346,722.54,4175.2,15.406,200.62
