,FLARE_TYPE,COINCIDENCE,d_l_f_1,d_l_f_2,d_l_f_3,d_l_f_4,d_l_f_5,d_l_f_6,d_l_f_7,d_l_f_8,d_l_f_9,d_l_f_10,d_l_f_11,d_l_f_12,d_l_f_13,d_l_f_14,d_l_f_15
0,X,False,171.11,170.05,172.19,169.78,168.43,171.41,169.93,168.61,167.77,168.12,168.06,169.51,169.66,169.47,170.64
1,X,False,228.15,226.86,227.39,226.86,226.08,225.68,228.28,228.57,227.66,228.28,228.78,229.43,228.79,227.79,228.46
2,X,False,284.27,280.42,282.42,282.18,279.68,277.97,278.89,280.16,281.48,282.27,284.34,285.71,285.13,284.87,284.79
3,X,False,83.003,76.922,79.425,77.401,79.738,75.69,77.252,71.512,70.93,71.069,65.472,64.604,67.422,67.146,62.471
4,X,True,47.656,50.036,46.362,47.108,48.24,47.791,46.027,44.171,43.846,44.837,46.355,43.167,44.94,41.752,45.097
5,X,False,359.3,318.92,327.6,350.96,315.87,267.3,325.37,259.99,278.19,283.75,245.01,320.22,264.76,287.49,324.98
6,X,True,103.4,102.04,101.87,102.12,104.85,105.72,103.91,102.77,103.94,102.4,102.51,103.52,103.05,104.87,105.7
7,X,False,203.94,201.7,167.05,214.25,216.8,214.24,207.49,206.45,205.09,201.74,206.03,207.72,213.84,216.52,219.87
8,X,False,214.24,207.49,206.45,205.09,201.74,206.03,207.72,213.84,216.52,219.87,218.59,224.65,226.72,223.47,225.63
9,X,False,493.8,491.61,493.69,499.2,499.87,500.05,502.18,499.83,500.21,502.28,501.07,502.4,503.38,500.06,499.35
10,X,False,406.3,391.83,398.12,397.63,392.35,396.84,399.87,398.07,398.26,397.15,400.99,407.88,414.45,422.61,420.1
11,X,True,68.409,85.981,38.666,69.845,99.218,122.65,134.01,121.57,123.16,164.63,161.36,182.04,175.23,212.86,205.08
12,X,True,246.94,249.03,249.22,248.14,246.39,247.4,244.77,247.81,244.55,248.29,248.81,249.31,250.8,249.41,249.32
13,X,False,99.646,91.492,96.589,99.075,96.155,99.392,93.659,102.93,98.139,103.6,98.092,98.306,96.914,95.696,100.09
14,X,False,270.95,271.04,270.77,270.24,268.89,270.58,268.86,267.48,267.05,267.78,266.75,265.18,266.24,266.68,265.59
15,X,False,273.56,272.72,272.71,273.96,274.0,274.2,274.22,274.4,276.46,276.78,277.88,278.74,278.86,278.82,277.71
16,X,False,303.85,305.81,305.74,305.74,301.96,301.99,303.37,301.42,301.24,304.8,303.08,303.79,305.62,304.96,304.49
17,X,False,218.0,218.79,216.02,216.11,214.26,213.94,213.77,259.33,259.5,260.88,255.39,255.85,257.93,259.47,260.23
18,X,False,332.11,332.69,333.96,333.57,332.99,331.81,332.23,332.51,330.41,331.07,330.94,332.09,332.14,331.94,332.15
19,X,False,105.33,111.41,118.24,152.65,128.46,138.45,100.01,55.085,57.684,60.269,60.97,47.167,21.892,26.81,49.004
20,X,False,1392.8,775.41,755.1,718.58,775.36,760.31,741.07,697.93,686.5,688.44,616.69,578.02,1048.3,989.62,961.87
21,X,False,95.23,94.664,94.663,109.9,101.11,97.074,123.43,99.741,118.43,125.65,131.14,129.78,130.17,133.57,142.51
22,X,False,183.84,183.66,224.78,227.92,223.0,225.99,214.68,202.29,202.13,228.8,241.89,209.94,214.1,238.19,220.85
23,X,True,198.2,198.19,198.91,199.43,200.09,199.38,197.67,197.67,198.09,198.14,197.54,197.81,199.39,199.52,200.08
24,X,True,268.52,268.07,264.0,265.33,265.5,265.87,264.91,264.01,265.98,266.43,267.22,267.83,268.02,268.05,267.09
25,X,True,266.24,264.89,267.88,267.08,268.27,266.94,269.42,270.02,271.98,271.69,270.64,271.43,270.85,269.52,271.45
26,X,False,208.22,207.61,207.97,208.88,206.95,207.7,209.07,208.32,208.98,206.78,208.42,207.46,193.86,205.33,205.05
27,X,False,697.01,697.75,695.14,695.34,695.09,697.77,699.52,701.03,698.91,703.53,707.43,703.35,707.73,708.53,707.87
28,X,True,99.678,97.698,100.14,100.72,99.625,99.711,100.7,101.14,99.938,99.531,99.855,98.507,98.844,97.68,95.636
29,X,False,47.421,47.061,60.697,52.814,52.566,56.849,62.818,45.413,40.848,38.452,36.098,33.808,33.854,21.892,21.664
30,X,True,118.22,118.29,118.92,117.04,116.95,117.49,118.59,119.14,119.59,108.11,107.76,108.24,108.2,107.9,107.05
31,X,True,107.05,115.89,115.65,105.49,104.68,105.27,106.1,106.11,106.43,107.72,108.29,108.85,108.87,109.2,109.29
32,X,False,104.32,104.22,103.55,102.68,103.09,103.6,104.47,105.19,105.52,105.86,105.69,105.78,105.93,106.21,106.09
33,X,False,315.51,316.69,316.95,307.23,308.33,302.88,294.84,286.16,283.31,285.67,272.1,268.46,262.53,251.73,247.53
34,M,False,83.404,83.044,83.371,84.523,84.178,85.93,89.658,89.414,95.238,97.433,99.099,100.37,101.4,102.15,105.41
35,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,M,False,198.13,197.71,197.25,198.18,197.71,197.25,197.71,0.0,196.36,196.36,197.29,197.25,196.82,196.82,197.71
37,M,True,22.701,27.169,69.865,98.551,78.668,63.299,45.179,72.855,44.065,35.117,25.369,39.432,90.472,50.093,22.526
38,M,False,8.2462,933.86,934.48,966.93,940.24,8.2462,947.25,969.23,8.9443,964.16,961.27,9.434,972.13,973.87,8.0623
39,M,False,270.28,269.27,270.19,270.2,271.09,270.2,269.3,270.66,270.37,270.08,270.15,268.88,269.58,269.93,269.18
40,M,False,166.76,164.85,164.8,170.2,167.45,170.04,170.01,170.73,171.86,173.87,174.57,174.48,174.55,173.0,175.0
41,M,True,208.15,200.21,194.68,198.86,203.97,199.6,199.18,199.47,199.96,195.12,199.23,196.37,191.84,188.63,186.95
42,M,True,167.91,169.38,170.12,171.42,170.8,169.24,169.19,169.07,168.56,167.76,167.81,169.76,169.91,170.08,172.92
43,M,False,142.74,137.31,137.54,140.99,134.73,133.67,138.06,135.87,137.43,138.94,147.2,139.33,139.63,136.12,134.85
44,M,False,185.85,185.99,184.31,182.74,184.38,183.27,183.97,181.37,182.15,180.3,181.78,181.16,181.41,182.47,183.77
