,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5,MEANGBZ_6,MEANGBZ_7,MEANGBZ_8,MEANGBZ_9,MEANGBZ_10,MEANGBZ_11,MEANGBZ_12,MEANGBZ_13,MEANGBZ_14,MEANGBZ_15,MEANGBZ_16,MEANGBZ_17,MEANGBZ_18,MEANGBZ_19,MEANGBZ_20,MEANGBZ_21,MEANGBZ_22,MEANGBZ_23,MEANGBZ_24,MEANGBZ_25,MEANGBZ_26,MEANGBZ_27,MEANGBZ_28,MEANGBZ_29,MEANGBZ_30,MEANGBZ_31,MEANGBZ_32,MEANGBZ_33,MEANGBZ_34,MEANGBZ_35,MEANGBZ_36,MEANGBZ_37,MEANGBZ_38,MEANGBZ_39,MEANGBZ_40,MEANGBZ_41,MEANGBZ_42,MEANGBZ_43,MEANGBZ_44,MEANGBZ_45,MEANGBZ_46,MEANGBZ_47,MEANGBZ_48,MEANGBZ_49,MEANGBZ_50,MEANGBZ_51,MEANGBZ_52,MEANGBZ_53,MEANGBZ_54,MEANGBZ_55,MEANGBZ_56,MEANGBZ_57,MEANGBZ_58,MEANGBZ_59,MEANGBZ_60,MEANGBZ_61,MEANGBZ_62,MEANGBZ_63,MEANGBZ_64,MEANGBZ_65,MEANGBZ_66,MEANGBZ_67,MEANGBZ_68,MEANGBZ_69,MEANGBZ_70,MEANGBZ_71,MEANGBZ_72,MEANGBZ_73,MEANGBZ_74,MEANGBZ_75,MEANGBZ_76,MEANGBZ_77,MEANGBZ_78,MEANGBZ_79,MEANGBZ_80,MEANGBZ_81,MEANGBZ_82,MEANGBZ_83,MEANGBZ_84,MEANGBZ_85,MEANGBZ_86,MEANGBZ_87,MEANGBZ_88,MEANGBZ_89,MEANGBZ_90,MEANGBZ_91,MEANGBZ_92,MEANGBZ_93,MEANGBZ_94,MEANGBZ_95,MEANGBZ_96,MEANGBZ_97,MEANGBZ_98,MEANGBZ_99,MEANGBZ_100,MEANGBZ_101,MEANGBZ_102,MEANGBZ_103,MEANGBZ_104,MEANGBZ_105
0,X,False,116.17,117.58,117.63,115.9,115.69,115.35,115.13,114.56,113.81,113.53,112.28,110.63,110.46,109.7,110.04,110.0,109.97,109.34,108.35,106.96,107.06,106.47,106.11,106.22,106.55,107.77,108.48,108.57,109.52,109.46,110.46,110.8,110.8,110.83,110.35,110.21,109.36,108.73,108.65,108.06,106.27,105.12,104.07,103.81,103.22,103.42,102.71,102.59,102.3,102.12,102.05,102.54,102.23,102.18,102.2,102.48,102.49,102.58,103.05,103.07,101.97,101.47,100.99,101.41,101.18,100.93,100.8,100.93,101.01,100.63,100.93,101.02,102.0,102.43,102.83,103.48,103.98,104.49,105.05,105.46,106.59,107.22,107.57,108.31,107.67,106.78,106.48,106.89,105.07,103.55,102.76,102.05,101.73,100.92,100.16,100.37,99.723,99.723,99.722,100.36,100.61,102.39,102.98,103.69,104.73
1,X,False,111.2,111.31,110.64,110.88,110.62,110.19,109.55,109.23,109.59,108.42,107.7,108.3,108.59,108.36,107.96,108.22,107.83,106.6,106.64,106.99,107.21,107.1,107.3,107.05,107.02,106.36,105.76,104.77,103.94,102.89,101.89,100.58,99.982,100.35,99.381,99.267,99.65,99.792,100.72,101.99,102.97,103.01,104.63,104.89,105.09,104.99,105.15,104.2,102.97,102.5,101.96,100.77,99.389,98.628,97.574,97.26,96.99,96.475,96.393,96.6,96.528,96.263,96.208,96.988,97.084,98.285,98.139,97.565,97.113,97.695,97.797,97.554,97.298,97.787,97.958,98.357,98.127,97.878,97.744,97.461,97.773,97.566,97.902,98.762,99.475,99.581,100.06,101.28,102.46,103.24,105.39,106.08,106.76,107.47,108.59,109.41,109.08,108.84,107.86,106.5,105.08,105.04,97.43,104.29,103.85
2,X,False,81.416,81.235,81.149,81.004,81.401,82.767,83.161,83.244,83.291,83.35,83.295,83.164,82.59,82.686,82.302,81.815,81.729,81.832,81.218,81.544,81.537,81.062,80.312,79.967,80.131,80.326,79.703,79.65,79.323,79.814,80.606,80.497,79.562,79.866,79.937,79.481,79.469,79.283,79.224,79.796,79.884,80.984,80.28,81.356,81.149,81.593,81.656,81.301,80.825,81.136,81.616,80.791,80.363,80.181,79.392,79.019,78.678,78.736,79.15,79.083,79.143,79.488,79.619,79.754,79.864,79.702,79.967,80.013,81.069,81.366,81.124,80.776,80.606,79.815,79.067,79.622,79.474,79.488,78.012,77.538,78.613,75.627,76.659,77.182,77.153,77.188,76.893,76.792,76.568,76.588,75.091,74.66,77.165,78.388,78.081,78.517,76.448,79.816,79.649,79.64,78.243,79.7,81.158,81.536,81.213
3,X,False,109.42,109.62,110.12,110.79,110.44,111.22,112.5,112.35,112.23,111.68,111.76,112.98,113.66,113.13,113.58,112.29,113.28,113.01,113.95,114.28,113.52,112.85,111.82,111.91,113.21,112.95,112.53,111.93,112.76,111.68,110.81,110.7,110.2,109.69,110.64,110.09,110.61,111.25,112.54,112.44,114.27,115.56,115.54,116.78,115.52,114.23,113.05,112.36,112.11,111.46,110.04,109.24,109.74,110.15,108.67,107.9,107.26,107.37,107.49,108.49,108.79,109.05,110.55,111.4,111.12,111.5,111.99,112.8,112.75,112.05,113.36,113.57,113.32,112.83,113.29,113.35,113.94,113.92,114.02,113.38,113.21,113.24,114.17,114.29,112.86,112.47,111.52,111.42,110.12,110.71,109.59,108.75,108.45,108.17,109.93,111.22,111.24,112.44,114.11,115.84,116.26,116.9,118.14,118.21,117.66
4,X,True,118.31,118.77,119.91,120.94,122.47,122.02,122.57,122.7,123.47,121.51,121.61,123.22,122.33,123.22,122.93,122.54,122.25,120.87,122.28,122.08,122.33,121.46,121.25,120.0,118.35,118.79,117.87,117.82,117.04,116.51,116.6,114.91,114.26,113.42,112.03,112.43,112.22,112.38,112.9,114.26,114.8,115.96,116.4,116.99,116.89,117.81,117.84,116.89,115.32,115.48,115.02,112.67,111.25,110.52,110.17,108.98,107.81,107.43,107.55,108.56,108.08,108.37,107.91,107.55,108.06,108.3,109.14,109.29,109.26,109.06,109.51,110.48,109.22,109.85,108.4,109.11,109.78,109.41,109.31,108.81,108.57,109.82,108.61,109.0,108.66,108.67,109.27,108.97,108.99,108.98,109.26,110.93,112.95,114.61,114.91,115.3,115.91,115.4,114.92,115.51,115.5,114.96,115.16,114.42,101.32
5,X,False,78.691,78.185,83.238,78.156,85.101,79.517,79.514,79.392,79.939,79.51,81.307,79.958,78.613,77.87,77.059,77.715,78.685,78.374,78.539,77.644,79.642,79.048,78.876,80.064,79.883,79.105,79.349,77.828,79.6,80.614,80.402,80.828,81.27,80.881,80.575,79.132,80.664,79.517,80.413,80.659,80.966,79.226,79.762,79.952,77.815,77.862,77.945,77.529,78.02,77.46,77.981,78.767,79.179,78.688,79.265,80.318,79.544,80.275,80.219,79.705,80.308,79.684,77.82,78.039,76.677,78.411,77.068,78.529,77.756,77.438,77.757,77.993,77.271,77.538,76.118,77.147,77.166,77.813,76.313,77.946,77.6,76.694,76.877,76.684,76.306,76.691,77.0,77.445,77.163,78.132,77.802,78.279,78.169,78.186,78.862,78.364,79.309,78.835,79.061,79.607,79.423,79.094,79.131,78.506,78.428
6,X,True,80.036,77.638,77.277,76.947,76.072,76.63,76.547,76.632,79.403,79.075,79.292,79.899,80.707,82.005,81.442,80.659,82.276,81.349,80.675,80.553,80.891,79.611,79.208,80.728,81.481,80.396,80.361,79.712,82.01,80.857,81.797,78.989,80.004,79.45,80.193,81.008,79.56,81.647,83.423,82.77,84.742,84.202,83.318,84.352,86.074,84.818,85.246,85.747,86.361,85.823,87.665,86.696,86.771,85.538,86.305,87.158,88.455,87.062,87.189,87.525,88.303,89.338,89.124,88.92,89.909,90.395,89.117,89.017,89.461,90.41,89.414,88.84,88.737,89.164,90.017,89.61,90.724,91.203,92.504,92.893,94.278,95.963,96.741,95.638,97.396,98.1,96.466,96.895,97.153,98.656,95.931,95.99,96.462,96.731,95.464,95.869,94.986,95.35,96.089,96.438,96.969,97.11,96.773,97.892,97.881
7,X,False,98.249,97.593,97.562,97.653,97.855,97.95,98.634,99.094,99.655,99.833,100.38,100.78,101.77,102.53,103.34,103.98,104.33,105.03,105.67,105.85,106.05,105.74,105.77,105.78,94.694,103.92,102.8,102.5,102.04,101.73,101.35,101.16,101.26,100.92,101.01,101.08,101.27,101.36,102.15,102.21,102.62,102.49,102.78,103.13,103.06,103.22,103.54,103.73,103.33,103.03,102.67,102.79,103.08,102.72,102.77,102.65,102.47,102.71,103.0,102.77,102.56,102.32,102.47,101.96,101.88,101.6,101.39,101.51,101.46,101.45,101.09,101.1,102.01,102.45,103.46,103.85,105.04,105.71,106.32,106.81,107.09,107.54,107.3,106.98,106.93,106.42,105.13,104.58,104.43,103.61,103.58,103.25,102.74,102.21,101.92,102.08,101.66,101.36,101.15,101.32,101.15,100.91,100.71,100.73,100.24
8,X,False,95.425,95.694,95.912,89.913,96.495,95.759,91.317,99.294,96.483,97.867,97.923,96.228,100.3,100.41,105.33,103.24,102.81,104.2,104.55,102.31,101.3,99.664,96.458,94.885,96.789,97.05,98.661,96.57,100.73,94.735,92.362,92.175,93.318,96.708,97.544,94.342,94.633,98.01,96.666,93.629,93.218,93.521,94.375,93.812,93.786,95.807,97.381,94.336,95.001,95.041,95.288,96.069,94.745,95.917,94.398,92.559,94.921,94.485,94.893,96.582,96.265,94.933,86.018,85.425,94.0,93.83,95.613,94.94,92.987,93.355,94.005,92.401,92.58,92.091,93.626,93.532,93.171,84.507,92.504,93.303,90.517,92.776,94.062,92.082,95.517,93.342,94.099,94.717,95.885,94.673,95.302,87.871,94.173,95.353,95.73,96.708,95.919,87.481,93.25,92.402,92.483,93.139,92.226,92.645,92.602
9,X,True,99.216,99.768,100.17,100.67,101.11,100.84,100.82,100.89,101.06,101.47,101.13,100.24,99.408,99.575,98.925,97.508,96.576,96.184,95.066,94.781,95.186,95.416,94.998,95.117,96.467,96.051,97.036,97.114,97.806,98.299,98.78,99.837,99.617,99.824,99.897,99.518,99.61,98.266,98.142,97.8,97.272,96.856,96.577,96.263,95.842,95.326,94.425,93.718,92.636,92.598,92.937,92.506,92.884,92.762,92.857,93.807,93.516,93.692,94.101,93.755,93.798,94.008,93.217,93.267,93.459,93.526,93.63,93.88,93.743,93.942,93.928,93.586,93.108,91.978,91.666,90.569,90.524,90.47,88.804,88.63,87.64,87.843,87.354,86.682,86.142,86.933,86.126,87.866,87.514,87.448,88.066,88.231,88.73,89.67,89.202,89.239,88.157,88.819,87.388,86.887,86.865,86.202,85.103,84.121,83.725
10,X,False,84.695,83.945,85.766,85.556,83.332,84.084,83.948,84.512,81.759,82.031,82.624,83.323,80.852,82.123,81.134,79.667,81.912,80.195,79.362,83.289,79.887,81.102,81.411,80.162,83.966,79.683,82.619,83.675,84.469,82.903,82.398,86.454,83.509,81.676,81.23,82.989,76.564,76.319,78.278,82.762,78.631,76.862,79.232,80.231,81.973,80.023,82.308,80.234,83.216,77.601,80.406,78.326,79.521,77.704,78.434,78.749,77.01,75.718,72.296,74.434,74.184,70.633,73.646,68.628,69.437,75.781,72.211,69.998,63.615,63.599,72.912,66.789,68.11,68.21,65.344,66.304,65.755,63.061,70.869,70.402,65.354,68.752,73.536,69.354,75.793,77.991,85.904,77.522,75.298,71.291,89.749,69.875,67.055,65.747,76.328,68.893,65.469,69.313,64.072,65.494,67.342,74.017,80.019,84.611,76.379
11,X,False,94.745,94.483,94.761,94.154,94.472,94.648,94.141,94.628,94.549,94.422,94.811,94.668,94.697,94.731,95.56,96.009,96.959,96.781,97.425,97.696,98.304,98.524,99.036,98.496,98.645,98.994,98.304,98.222,98.55,98.133,98.175,98.456,98.004,97.594,97.09,96.714,95.98,95.881,95.229,94.588,94.422,94.72,94.849,95.046,95.726,96.12,96.402,96.981,97.659,98.136,98.794,99.206,99.607,99.4,100.49,99.191,99.03,99.457,99.439,99.004,98.704,98.245,98.441,98.351,98.558,98.224,97.875,97.513,97.767,97.972,98.223,98.797,99.635,99.857,100.04,99.381,100.35,99.799,100.18,100.18,100.84,100.61,101.14,100.92,101.06,101.21,100.6,99.613,99.811,98.644,98.689,98.224,97.98,97.946,97.811,98.037,98.315,98.262,99.095,99.835,100.66,102.08,103.33,103.84,104.82
12,X,False,111.59,112.56,112.8,112.67,113.35,112.45,111.65,111.03,110.87,110.41,109.77,109.77,108.65,107.16,107.13,106.75,106.87,106.52,106.24,106.31,105.68,106.06,106.92,107.11,107.91,108.37,108.85,108.92,109.14,109.26,109.66,109.47,109.76,109.6,110.57,109.87,110.1,109.99,110.42,109.35,110.06,110.05,109.24,108.46,108.13,107.74,107.18,107.16,107.1,106.74,107.62,107.66,108.12,108.4,108.67,109.7,109.91,111.02,111.73,112.61,113.04,113.32,113.86,114.98,114.25,112.87,112.35,111.8,110.66,109.76,109.27,109.38,108.65,108.5,108.21,108.32,108.37,107.64,107.55,108.1,108.81,108.66,108.32,109.05,109.77,110.08,110.97,110.86,111.43,111.0,111.0,111.2,111.49,112.32,111.6,111.76,112.21,111.94,111.81,111.89,111.75,111.81,111.37,111.0,110.12
13,X,False,96.496,96.208,95.595,93.899,93.579,94.087,93.799,94.531,94.382,94.035,94.047,93.497,93.815,93.89,93.652,93.252,93.699,94.142,94.228,94.439,94.679,94.968,94.43,94.806,94.827,94.933,94.472,94.563,94.545,93.913,94.29,92.419,92.092,90.832,90.096,89.321,88.787,89.089,88.982,85.209,88.013,88.836,88.825,89.013,88.969,89.232,90.658,91.114,91.127,91.168,90.685,91.147,90.456,90.105,91.093,90.795,90.238,86.926,88.876,88.022,88.093,87.135,87.115,86.29,85.278,85.317,85.02,85.743,84.759,85.387,84.04,83.928,83.57,84.637,84.512,84.102,84.182,83.222,85.04,84.454,86.992,84.417,84.041,84.717,84.206,85.346,84.865,86.914,83.877,83.916,84.207,81.965,82.814,82.429,82.732,82.603,83.313,83.49,83.383,82.319,80.02,79.55,79.823,78.271,79.063
14,X,False,93.251,93.856,94.491,95.612,96.056,97.084,97.943,98.438,98.567,99.413,100.42,100.61,101.11,100.43,99.968,99.687,99.083,98.19,97.668,96.985,96.464,96.444,95.882,95.655,95.689,95.946,95.844,95.379,95.186,95.282,95.888,95.951,95.634,95.795,95.832,95.626,95.801,95.857,95.752,95.314,94.744,94.622,94.561,94.29,94.3,94.557,94.709,94.684,94.684,94.737,94.427,94.434,94.212,94.398,94.597,94.796,95.029,95.611,96.333,96.973,96.98,97.986,98.597,99.508,99.839,100.32,100.58,100.67,100.66,100.25,99.845,99.108,98.474,97.38,97.009,96.347,95.521,95.029,95.117,94.664,94.208,94.112,93.683,93.526,93.441,94.147,93.883,94.272,94.288,94.164,95.118,94.988,95.087,95.158,95.212,95.496,95.661,95.514,95.721,95.525,95.256,95.294,95.301,95.154,94.927
15,X,False,57.567,58.836,57.486,59.755,61.213,63.792,63.621,63.56,64.63,60.09,65.25,66.372,66.156,69.273,76.983,80.221,83.243,73.821,77.744,85.274,82.597,84.294,81.18,82.7,85.805,86.341,83.654,82.248,83.102,76.521,83.081,74.354,77.319,74.248,78.969,77.31,77.154,76.849,76.76,76.86,75.273,79.682,84.203,80.483,77.362,78.64,79.474,77.298,75.592,77.762,83.702,75.104,76.742,73.983,76.011,80.322,92.875,87.747,92.846,95.529,80.435,93.651,92.985,91.832,91.432,90.008,97.625,92.42,97.043,86.228,81.214,79.997,92.349,79.223,89.011,78.57,80.864,87.731,88.246,77.808,88.044,77.354,82.948,88.03,86.197,75.927,77.474,77.252,82.9,76.446,77.506,76.413,79.185,74.808,85.078,87.897,80.848,89.351,90.409,87.098,87.178,85.401,84.779,79.668,79.099
16,X,False,83.497,83.531,82.271,87.454,84.652,86.021,85.058,87.631,87.42,87.692,88.479,91.912,90.747,93.273,91.247,94.25,95.476,94.431,96.744,97.724,98.842,95.62,98.377,100.56,98.825,98.063,99.656,96.773,96.467,93.656,95.108,93.879,93.428,92.561,91.15,90.399,91.175,92.231,92.933,92.355,92.761,92.707,95.414,94.939,96.637,97.425,98.524,98.319,99.124,97.157,98.501,100.45,101.1,101.37,100.46,98.907,99.494,101.38,101.59,98.961,99.325,100.54,98.376,98.386,96.831,97.937,97.365,96.67,96.872,97.01,98.707,98.33,98.835,94.707,93.483,93.235,93.379,91.433,91.246,89.249,88.951,87.116,86.416,86.479,87.181,84.878,85.527,86.041,85.988,86.737,86.754,87.805,88.77,87.916,88.318,87.702,87.127,87.666,86.97,86.141,85.708,83.528,83.431,81.918,81.751
17,X,False,83.24,77.927,78.007,81.612,85.594,81.606,85.035,84.831,90.26,88.084,90.06,95.943,88.652,87.453,81.11,91.267,86.308,83.898,83.457,89.069,83.749,82.05,80.678,79.627,82.525,84.659,75.37,80.404,83.28,76.716,85.713,78.794,74.767,80.621,76.147,75.886,76.053,76.456,77.157,75.234,74.762,76.673,72.932,69.869,74.022,73.181,73.727,70.556,74.845,76.884,72.753,82.243,74.105,76.587,72.797,76.024,75.483,80.003,74.883,80.043,77.864,77.662,80.282,82.862,81.81,77.509,81.674,81.372,82.973,79.6,80.582,79.914,83.725,81.306,80.895,82.41,79.625,80.967,80.932,81.607,83.752,84.354,85.514,80.841,83.257,85.994,84.367,85.753,87.55,88.28,85.037,89.203,83.253,84.033,85.611,88.287,88.668,91.852,86.758,87.569,89.478,90.68,88.951,86.874,88.72
18,X,False,75.414,80.828,73.837,81.849,74.366,74.851,74.556,75.873,78.517,79.516,73.752,74.651,74.673,73.788,74.384,77.1,75.652,76.679,78.282,77.037,77.425,81.117,76.717,76.534,77.192,76.378,76.062,75.409,76.329,75.274,75.231,76.599,75.58,75.005,76.475,77.154,75.452,75.269,76.284,76.143,75.718,74.199,75.154,74.361,74.543,74.61,75.397,75.173,75.906,75.568,76.259,76.814,77.605,77.546,77.983,78.221,78.953,79.569,79.542,80.388,80.411,80.452,80.287,81.084,80.671,79.291,79.579,79.286,78.855,78.744,78.587,79.467,79.207,79.599,80.769,80.855,82.013,82.463,82.52,82.814,82.674,82.686,83.638,84.544,84.568,84.434,84.791,85.071,84.865,84.696,84.65,84.33,84.819,83.743,84.053,83.735,83.927,84.301,83.883,84.076,84.029,84.154,84.871,84.798,85.458
19,X,True,98.036,98.146,98.713,99.174,99.381,99.637,99.882,100.21,100.52,100.27,100.4,99.672,99.542,99.354,98.817,97.974,97.336,96.824,96.413,96.073,95.912,95.557,95.465,95.698,95.753,96.026,96.265,96.707,97.304,98.043,98.489,98.66,98.696,98.429,98.929,98.524,98.406,97.6,98.048,97.527,96.714,96.391,95.601,95.324,94.803,94.823,94.397,94.108,94.011,94.121,93.99,94.43,94.215,93.728,93.71,94.377,94.628,94.919,94.955,95.41,95.587,95.665,95.841,96.017,96.037,95.856,95.612,95.422,95.119,94.764,94.534,94.279,93.36,93.327,93.292,92.356,92.519,92.402,92.554,92.681,92.89,93.414,93.912,93.689,94.505,94.819,95.067,95.227,95.57,95.913,95.895,96.238,95.651,95.533,95.186,94.787,94.204,94.099,93.712,93.309,92.665,92.189,92.204,91.794,91.436
20,X,False,99.661,99.266,99.729,99.792,99.772,100.64,101.45,102.8,103.49,104.73,105.08,106.65,107.22,108.47,109.87,110.62,111.35,112.42,112.15,112.18,112.86,112.29,111.57,110.8,110.92,110.39,109.98,109.6,108.75,108.71,108.57,108.27,108.17,107.49,107.4,107.44,107.2,107.45,107.23,107.75,107.38,107.26,107.83,108.97,109.14,109.72,110.19,110.15,110.18,111.55,111.57,112.31,112.34,113.29,113.36,112.71,113.97,114.25,113.61,112.9,112.78,112.08,110.06,110.39,109.55,107.6,106.28,105.02,104.42,103.84,104.33,104.04,103.66,104.5,104.81,105.48,106.16,107.08,107.51,108.76,109.44,110.55,110.97,111.5,112.09,112.49,113.04,112.56,112.22,112.5,112.62,112.36,111.74,111.47,111.32,111.6,112.04,112.52,112.56,113.0,113.58,113.04,112.88,113.11,112.93
21,X,True,119.97,122.0,121.24,121.67,121.75,122.0,122.99,123.31,122.84,124.21,125.17,125.54,125.26,125.93,126.67,126.08,126.25,125.98,125.37,125.16,125.31,123.78,123.75,122.91,123.46,122.67,121.83,121.17,120.44,120.12,119.67,120.28,119.51,118.99,119.57,119.88,120.48,121.24,122.13,123.69,124.61,125.36,125.64,127.27,128.14,127.63,127.45,126.69,125.82,125.22,122.89,121.51,120.48,119.88,118.96,119.9,119.41,120.89,120.71,120.88,122.05,122.84,123.64,123.89,123.48,123.68,123.53,123.72,122.61,121.81,121.19,121.14,121.33,120.31,119.66,119.83,118.98,119.08,119.28,119.14,119.17,118.07,117.59,117.8,117.33,117.84,118.71,118.32,120.15,120.26,119.29,119.6,120.83,121.79,121.74,120.55,120.85,120.52,120.22,120.25,120.26,119.84,118.47,117.86,117.14
22,M,False,126.36,125.33,125.36,123.37,123.01,124.0,124.29,123.58,122.39,122.01,123.54,123.28,126.67,128.22,128.17,125.72,126.62,129.55,127.91,126.08,124.53,124.4,124.25,143.19,118.88,119.91,121.19,120.65,119.23,119.07,118.25,118.08,118.9,116.9,114.94,116.97,117.22,116.01,114.58,117.08,117.42,116.8,120.49,119.65,120.51,121.1,122.27,123.64,123.62,124.61,121.96,124.79,122.55,122.1,122.14,120.25,119.6,117.2,115.44,113.86,110.94,113.83,112.11,110.68,110.62,110.36,109.45,111.47,112.22,113.03,112.91,113.03,114.88,116.36,116.43,116.52,116.44,115.28,118.86,118.62,117.46,114.55,113.87,112.55,112.6,112.24,110.89,108.8,108.67,106.6,105.48,104.3,105.58,106.13,106.51,106.63,106.76,105.02,103.82,104.73,104.79,104.07,102.47,101.73,103.08
23,M,False,126.28,116.27,122.06,140.14,117.53,137.82,135.4,111.3,112.05,111.76,115.93,111.02,122.28,116.88,124.95,123.83,132.47,109.21,125.24,112.92,120.35,109.05,123.9,119.19,117.81,123.43,114.1,119.09,109.42,114.83,112.86,109.65,115.49,115.15,114.31,124.46,111.07,117.46,124.78,120.77,120.52,126.33,142.33,121.53,113.22,101.9,108.14,105.91,113.42,113.27,114.38,119.58,119.88,115.14,115.86,115.42,114.18,108.34,109.73,105.99,92.626,111.45,113.52,105.74,116.89,110.08,117.04,126.64,119.99,118.71,124.15,119.61,113.46,120.7,110.06,115.31,114.37,110.07,121.78,118.39,124.92,120.48,108.4,110.19,112.67,117.46,114.84,113.05,106.09,116.81,112.09,100.36,110.4,105.3,104.11,114.76,107.32,108.94,114.89,119.22,109.39,112.77,117.03,104.91,113.93
24,M,False,90.062,89.621,89.782,90.123,89.626,90.782,90.649,91.605,92.809,93.053,92.668,93.236,93.231,94.322,95.11,95.497,95.346,94.522,95.112,95.19,95.965,95.444,95.094,94.681,94.336,94.235,93.201,92.919,92.012,91.869,91.907,91.795,91.789,91.922,91.29,91.521,90.613,91.458,92.626,92.211,92.858,93.059,93.276,92.493,93.026,92.853,92.899,92.854,93.494,94.826,94.474,96.389,95.475,96.0,96.658,96.276,96.106,96.814,96.79,97.228,96.649,96.327,96.397,96.848,96.73,95.827,95.871,95.09,94.099,93.658,92.948,92.848,92.027,91.705,92.74,93.348,93.868,94.836,94.565,94.731,94.071,93.44,94.0,93.72,94.28,94.711,94.891,94.277,94.942,94.418,93.248,93.397,94.26,93.626,95.411,96.037,95.763,96.285,96.419,95.612,95.849,95.711,95.113,95.546,94.732
25,M,False,92.471,88.18,91.024,91.321,92.126,92.869,92.729,93.246,93.048,92.126,93.527,95.405,92.723,90.621,91.341,92.6,93.651,96.445,95.758,97.947,98.815,99.957,99.606,99.108,100.25,101.0,101.65,102.02,100.45,101.99,100.53,96.925,93.186,96.26,96.741,97.072,95.095,90.467,89.397,89.645,98.449,92.1,92.012,91.891,93.482,93.808,95.487,94.86,94.504,98.038,96.956,96.972,97.189,97.377,97.962,98.037,100.42,100.55,99.792,98.004,99.282,100.2,99.579,100.28,99.741,97.758,98.087,98.245,98.449,97.233,96.284,96.825,97.008,98.709,100.05,105.42,95.21,95.743,95.137,95.378,95.878,93.655,95.515,91.079,94.425,91.364,91.989,90.568,89.593,90.392,89.475,88.041,90.424,90.65,93.188,90.216,90.895,92.825,88.705,90.09,103.95,90.494,86.343,100.68,89.737
26,M,True,117.25,119.24,117.45,117.87,118.87,121.5,123.05,123.07,122.61,123.44,127.34,129.27,128.94,125.48,122.54,122.3,120.45,119.3,118.21,118.52,116.95,115.9,115.69,115.35,115.02,113.74,115.44,116.97,117.13,116.88,117.22,119.44,119.66,120.26,121.75,123.13,122.06,121.61,120.83,120.35,120.62,121.5,123.75,124.75,125.91,128.49,128.31,128.83,129.01,128.71,128.31,127.77,127.3,126.54,125.94,123.36,123.57,122.25,121.18,120.66,119.22,118.4,120.09,121.25,122.13,121.96,121.44,122.47,123.68,124.76,124.6,126.37,128.18,130.22,132.34,132.87,131.83,130.15,130.28,127.71,126.47,124.77,122.92,120.81,118.86,119.35,117.85,117.2,115.97,116.67,116.57,117.77,117.84,117.82,119.16,120.12,120.46,121.37,121.2,120.78,119.83,118.63,118.18,119.75,119.31
27,M,True,112.61,113.73,116.56,117.9,118.57,118.32,119.21,119.36,119.94,120.69,120.81,120.62,119.08,117.83,115.98,115.13,113.95,113.52,112.6,111.33,111.19,111.43,111.75,111.65,112.57,113.31,113.44,114.47,114.61,115.94,116.7,116.31,116.92,116.91,117.4,117.38,118.29,118.31,118.24,117.64,118.01,116.57,116.17,117.58,117.63,115.9,115.69,115.35,115.13,114.56,113.81,113.53,112.28,110.63,110.46,109.7,110.04,110.0,109.97,109.34,108.35,106.96,107.06,106.47,106.11,106.22,106.55,107.77,108.48,108.57,109.52,109.46,110.46,110.8,110.8,110.83,110.35,110.21,109.36,108.73,108.65,108.06,106.27,105.12,104.07,103.81,103.22,103.42,102.71,102.59,102.3,102.12,102.05,102.54,102.23,102.18,102.2,102.48,102.49,102.58,103.05,103.07,101.97,101.47,100.99
28,M,False,118.56,117.05,115.66,115.07,112.13,111.45,110.74,108.65,108.57,108.23,108.53,109.22,109.62,109.32,110.71,110.95,110.92,112.37,114.24,114.3,114.91,114.84,115.46,115.75,115.42,114.73,115.19,115.14,115.16,116.1,116.77,115.73,114.87,116.3,115.83,116.43,117.72,116.15,115.95,114.8,114.12,113.95,113.13,113.11,113.13,112.1,111.98,111.76,111.4,111.15,110.91,110.68,110.05,110.16,111.77,112.65,113.83,114.1,116.4,117.27,118.22,118.89,121.32,122.31,120.9,121.02,119.01,118.59,117.67,116.72,115.27,115.62,113.78,112.6,112.32,113.71,113.4,113.34,111.53,110.93,113.68,114.88,114.91,114.02,114.17,113.83,113.47,114.31,114.31,114.09,113.25,113.03,115.65,114.87,113.43,114.22,113.7,112.46,113.32,112.9,111.78,111.16,110.59,110.78,110.82
29,M,False,100.39,100.52,100.94,100.41,100.76,100.66,101.23,102.65,102.71,102.42,103.43,104.27,105.0,105.76,106.51,106.85,107.49,107.31,107.71,108.0,107.76,107.65,106.65,105.75,104.79,103.22,102.78,102.76,103.39,103.4,103.31,104.41,105.46,105.51,107.13,107.88,109.09,110.05,111.67,112.42,112.95,112.8,111.7,112.07,111.82,111.28,111.01,110.62,110.98,109.68,109.2,108.6,108.65,109.34,109.42,109.78,109.63,109.85,109.07,109.52,109.98,110.1,109.79,109.95,110.34,111.18,111.87,112.34,112.85,113.67,112.85,112.55,112.84,113.43,113.28,112.69,111.57,110.9,109.61,108.06,107.92,106.6,105.52,105.0,104.83,104.93,103.96,104.08,104.68,105.38,106.28,107.49,108.7,109.02,109.48,109.27,109.31,110.75,109.46,108.97,108.27,108.17,107.56,106.73,106.83
