,FLARE_TYPE,COINCIDENCE,MEANSHR_1,MEANSHR_2,MEANSHR_3,MEANSHR_4,MEANSHR_5,MEANSHR_6,MEANSHR_7,MEANSHR_8,MEANSHR_9,MEANSHR_10,MEANSHR_11,MEANSHR_12,MEANSHR_13,MEANSHR_14,MEANSHR_15,MEANSHR_16,MEANSHR_17,MEANSHR_18,MEANSHR_19,MEANSHR_20,MEANSHR_21,MEANSHR_22,MEANSHR_23,MEANSHR_24,MEANSHR_25,MEANSHR_26,MEANSHR_27,MEANSHR_28,MEANSHR_29,MEANSHR_30,MEANSHR_31,MEANSHR_32,MEANSHR_33,MEANSHR_34,MEANSHR_35,MEANSHR_36,MEANSHR_37,MEANSHR_38,MEANSHR_39,MEANSHR_40,MEANSHR_41,MEANSHR_42,MEANSHR_43,MEANSHR_44,MEANSHR_45,MEANSHR_46,MEANSHR_47,MEANSHR_48,MEANSHR_49,MEANSHR_50,MEANSHR_51,MEANSHR_52,MEANSHR_53,MEANSHR_54,MEANSHR_55,MEANSHR_56,MEANSHR_57,MEANSHR_58,MEANSHR_59,MEANSHR_60,MEANSHR_61,MEANSHR_62,MEANSHR_63,MEANSHR_64,MEANSHR_65,MEANSHR_66,MEANSHR_67,MEANSHR_68,MEANSHR_69,MEANSHR_70,MEANSHR_71,MEANSHR_72,MEANSHR_73,MEANSHR_74,MEANSHR_75,MEANSHR_76,MEANSHR_77,MEANSHR_78,MEANSHR_79,MEANSHR_80,MEANSHR_81,MEANSHR_82,MEANSHR_83,MEANSHR_84,MEANSHR_85,MEANSHR_86,MEANSHR_87,MEANSHR_88,MEANSHR_89,MEANSHR_90,MEANSHR_91,MEANSHR_92,MEANSHR_93,MEANSHR_94,MEANSHR_95,MEANSHR_96,MEANSHR_97,MEANSHR_98,MEANSHR_99,MEANSHR_100,MEANSHR_101,MEANSHR_102,MEANSHR_103,MEANSHR_104,MEANSHR_105,MEANSHR_106,MEANSHR_107,MEANSHR_108,MEANSHR_109,MEANSHR_110,MEANSHR_111,MEANSHR_112,MEANSHR_113,MEANSHR_114,MEANSHR_115,MEANSHR_116,MEANSHR_117,MEANSHR_118,MEANSHR_119
0,M,True,42.592,43.028,42.632,41.53,40.936,41.273,42.291,41.633,41.127,40.508,40.95,40.972,41.018,40.595,39.611,41.587,39.435,39.199,39.408,39.037,39.13,38.741,39.061,39.158,39.617,39.165,39.884,41.231,39.839,40.395,39.583,40.739,40.91,40.806,40.95,39.927,40.037,40.71,39.939,39.85,40.382,40.172,40.183,40.114,39.946,40.058,39.69,39.914,40.096,39.997,40.294,40.256,40.22,40.699,40.666,40.915,40.825,40.52,40.651,40.406,39.924,39.963,39.605,39.542,39.654,39.571,39.422,39.165,39.56,39.204,39.202,39.272,39.075,38.918,38.821,38.767,38.791,38.233,38.466,38.089,38.062,38.061,38.001,38.256,37.971,37.734,38.082,38.149,38.534,38.861,38.09,38.067,38.413,38.604,37.793,38.194,38.088,37.827,37.983,39.051,38.856,39.579,39.575,38.243,38.194,39.258,39.504,38.779,38.472,38.657,38.958,38.888,38.793,38.488,37.779,37.123,37.728,37.461,37.359
1,M,True,40.294,40.256,40.22,40.699,40.666,40.915,40.825,40.52,40.651,40.406,39.924,39.963,39.605,39.542,39.654,39.571,39.422,39.165,39.56,39.204,39.202,39.272,39.075,38.918,38.821,38.767,38.791,38.233,38.466,38.089,38.062,38.061,38.001,38.256,37.971,37.734,38.082,38.149,38.534,38.861,38.09,38.067,38.413,38.604,37.793,38.194,38.088,37.827,37.983,39.051,38.856,39.579,39.575,38.243,38.194,39.258,39.504,38.779,38.472,38.657,38.958,38.888,38.793,38.488,37.779,37.123,37.728,37.461,37.359,36.586,36.282,36.948,37.434,37.416,37.184,37.665,37.105,37.011,37.345,37.383,36.865,37.684,37.669,37.349,36.329,36.207,36.108,36.391,36.997,36.659,36.592,36.336,37.049,36.572,36.569,36.086,36.69,36.011,36.139,36.849,37.488,38.295,37.65,37.602,38.434,38.774,38.357,38.315,37.675,37.826,37.719,37.776,37.674,37.465,37.575,37.627,37.574,37.539,37.722
2,B,False,37.658,38.188,38.4,38.676,38.258,38.146,38.203,38.58,38.778,38.672,39.141,39.481,39.233,39.963,39.922,39.546,39.696,38.804,39.554,40.092,40.118,39.913,39.941,40.08,40.173,40.394,40.566,40.684,40.963,41.086,41.021,41.225,41.452,40.826,40.829,40.556,40.636,40.957,40.895,41.045,41.113,41.18,41.11,41.083,40.95,40.95,40.927,41.136,40.797,39.978,39.665,39.754,39.878,40.288,40.081,40.116,40.136,41.027,41.082,40.926,41.272,40.688,40.684,41.327,41.097,40.823,40.725,40.889,40.578,41.107,40.652,41.139,41.382,41.98,41.092,40.289,40.46,40.676,40.585,40.76,40.928,40.77,40.685,40.644,41.246,41.517,41.076,41.289,40.888,40.962,40.975,40.921,41.222,41.381,40.75,40.858,41.869,41.631,41.909,41.261,41.057,41.253,41.183,41.371,41.216,40.864,40.315,40.346,40.362,39.419,38.924,38.309,38.157,37.763,37.556,37.46,38.228,38.429,38.513
3,B,True,38.907,38.962,40.173,38.891,38.731,37.99,38.111,38.391,37.488,38.186,38.156,38.112,38.31,38.468,38.54,37.834,37.721,38.427,38.225,38.26,38.084,37.005,37.124,37.409,37.84,37.741,38.398,37.611,38.091,37.75,37.881,37.973,38.005,37.78,37.905,37.799,37.41,38.049,37.758,37.441,36.692,36.653,36.597,36.788,36.49,36.861,36.48,36.567,36.662,36.701,37.198,37.103,36.939,36.787,36.667,36.679,36.515,36.679,36.376,36.291,36.414,36.055,36.405,36.076,36.393,36.106,36.217,35.175,35.286,35.648,36.244,35.87,36.128,35.879,36.163,35.93,35.509,36.234,35.545,35.436,35.841,35.295,35.002,35.159,35.315,35.466,34.861,34.639,34.223,34.401,34.651,34.957,34.256,33.991,33.88,33.805,34.202,33.84,34.081,33.791,34.035,34.924,34.631,34.287,34.638,34.005,33.953,33.577,33.426,33.243,32.958,33.423,33.2,34.002,33.214,33.303,32.934,32.8,32.734
4,B,True,42.59,41.063,40.497,40.4,40.48,41.203,39.034,35.437,36.584,37.492,36.814,34.973,35.747,34.586,32.862,33.872,33.504,31.889,33.166,31.307,31.211,31.34,32.613,34.172,32.144,31.653,32.859,32.363,31.616,33.519,34.409,35.295,35.247,31.305,32.445,31.195,30.323,29.311,29.175,28.348,30.475,30.562,30.253,31.628,30.788,31.725,31.514,33.724,33.227,31.65,31.391,32.432,32.663,33.448,36.807,36.654,35.665,34.046,34.599,34.972,35.011,35.014,34.283,34.492,34.694,33.774,32.611,31.648,33.262,33.151,31.68,31.92,32.118,30.941,32.314,32.944,32.867,34.067,31.941,31.895,31.631,33.526,32.275,32.625,32.309,32.411,32.942,33.204,34.434,33.332,34.057,33.486,33.63,33.264,32.65,34.268,34.598,34.31,37.554,37.202,35.512,35.299,35.787,35.287,32.943,33.615,34.885,33.159,33.698,32.676,34.721,33.903,32.791,34.033,31.25,32.993,34.522,34.069,33.419
5,B,True,22.788,22.805,22.982,22.718,22.845,22.888,22.507,22.516,22.672,21.955,22.227,22.45,22.128,22.082,22.005,22.057,21.875,21.934,21.984,21.949,21.906,22.041,21.905,21.748,21.825,21.599,21.67,21.966,22.312,22.2,22.161,21.955,22.236,22.222,22.158,22.779,23.404,24.107,23.88,24.156,24.573,24.209,23.906,24.159,24.896,23.81,24.489,24.668,25.05,25.559,25.338,25.445,24.988,24.707,24.785,24.963,24.523,25.284,25.768,26.438,25.949,26.532,26.23,26.083,26.917,26.965,26.809,27.203,26.691,27.439,27.958,28.006,27.581,27.009,26.925,26.407,26.314,26.256,26.691,26.735,27.484,27.116,26.766,27.196,26.838,27.533,28.341,28.294,29.399,28.774,28.971,28.771,29.058,28.221,29.032,28.704,29.273,29.346,29.695,29.39,28.493,29.624,29.851,29.101,29.528,29.912,29.52,30.224,30.144,30.653,29.418,28.881,29.034,28.768,28.683,28.554,28.448,28.543,28.545
6,B,False,25.719,25.777,25.29,25.625,25.165,25.287,25.472,25.663,26.109,26.277,25.733,25.555,25.911,25.775,25.513,25.588,25.471,25.049,25.428,25.52,25.842,25.613,25.876,25.24,25.578,26.177,26.168,25.682,25.486,25.711,25.485,24.876,25.456,25.394,25.308,24.962,25.533,25.295,25.183,25.941,25.421,25.51,25.449,25.629,25.658,25.604,25.494,25.34,24.745,25.243,25.136,24.847,24.397,24.6,24.344,24.614,24.827,24.633,24.393,24.352,23.919,23.729,23.989,23.691,23.618,23.464,23.633,23.47,23.745,23.387,23.607,23.006,23.471,23.714,23.409,23.715,23.163,23.175,23.53,23.292,23.125,23.162,23.208,23.018,23.522,23.557,23.275,23.576,23.575,23.71,23.763,23.523,23.663,23.951,23.852,23.776,23.226,23.191,23.77,23.781,23.542,23.556,23.383,23.663,23.568,23.289,22.34,22.652,22.753,22.239,22.715,22.484,23.599,23.547,23.155,24.298,23.865,24.448,24.819
7,B,False,53.979,53.84,53.787,53.909,53.865,54.404,54.038,53.976,53.755,53.545,53.399,53.529,53.487,53.215,53.615,53.383,52.837,53.024,53.268,52.834,53.106,53.366,53.646,53.641,52.976,53.531,53.305,53.061,53.299,53.433,54.052,54.03,54.071,53.824,54.217,54.272,54.91,54.976,54.24,54.256,55.105,54.818,54.596,54.744,54.625,53.997,54.126,54.454,54.565,54.381,54.166,54.538,54.222,53.452,53.168,53.962,54.719,54.394,53.6,53.746,54.198,53.986,54.518,54.279,54.671,54.712,54.522,54.087,54.383,54.247,53.994,54.009,53.874,53.531,53.37,52.973,53.555,53.137,53.125,53.739,53.694,53.505,53.734,53.78,53.307,53.41,53.463,53.759,54.061,54.21,53.553,53.101,52.837,53.063,53.276,52.874,53.389,53.067,53.132,52.94,53.946,53.969,53.576,53.246,53.207,53.73,53.761,53.915,53.804,53.688,53.612,53.862,53.698,53.259,53.02,53.323,53.309,53.687,53.637
8,B,False,29.393,29.364,30.139,30.985,30.011,29.381,29.354,29.484,30.123,30.392,30.3,30.772,30.679,30.666,31.281,30.566,0.0,31.832,32.549,32.715,32.236,33.06,33.088,33.254,32.44,32.569,32.56,32.857,32.829,33.187,32.825,33.571,32.979,33.329,33.31,33.617,32.992,33.404,33.234,33.631,33.317,33.577,32.824,33.887,33.362,34.069,34.211,33.508,33.544,34.679,34.3,0.0,35.122,35.292,35.164,35.076,34.316,33.519,33.632,34.482,34.59,35.935,35.201,36.16,35.554,36.482,35.287,35.493,36.016,35.953,36.035,35.819,35.985,36.528,36.434,36.518,36.259,36.981,36.679,37.055,35.963,35.81,35.798,35.424,35.107,34.686,36.085,35.91,36.495,36.012,35.96,36.356,35.471,36.643,36.103,36.667,37.692,37.234,37.479,37.587,37.8,37.917,37.905,37.458,37.78,36.992,37.078,36.65,36.563,36.497,36.528,36.634,37.08,37.202,37.819,37.681,37.486,37.41,37.938
9,B,False,43.119,42.832,42.602,42.444,42.537,42.232,42.701,43.019,42.374,42.224,42.13,42.458,42.041,41.775,41.643,41.467,41.565,42.57,42.142,42.273,42.769,42.653,42.492,42.844,42.827,42.557,42.402,42.387,42.278,42.226,42.691,42.972,42.627,42.206,42.044,42.288,41.842,41.996,42.051,42.0,42.742,42.626,42.333,42.477,42.377,42.788,42.468,42.377,42.72,42.69,43.212,42.815,42.643,42.917,43.096,42.879,43.333,43.682,43.778,43.448,43.649,43.469,43.527,43.881,43.793,43.766,43.436,43.293,43.685,42.93,42.726,42.367,42.307,42.451,43.233,42.748,43.314,43.46,43.476,43.825,44.336,44.124,43.334,43.824,43.869,43.154,43.325,42.701,43.146,42.953,42.931,43.133,42.744,42.765,42.466,42.121,41.47,41.654,41.686,41.451,41.496,41.553,41.448,41.242,40.72,41.271,41.456,41.75,41.777,42.294,42.291,42.329,42.695,43.002,43.551,43.599,43.083,43.34,43.728
10,B,True,51.52,51.717,51.865,51.704,51.337,51.386,51.049,50.845,51.055,50.936,50.668,50.709,50.545,50.431,50.705,50.642,50.59,50.37,50.364,50.391,50.309,50.092,50.203,50.417,50.379,50.206,50.29,50.353,50.1,50.073,50.231,50.157,50.25,50.222,50.346,50.228,50.38,50.708,50.588,50.497,50.733,50.793,51.133,51.383,51.309,51.243,51.359,51.742,51.812,51.817,52.048,52.562,52.547,52.702,52.519,52.458,52.76,52.605,52.371,51.94,51.951,52.293,51.817,51.545,51.153,51.352,51.219,51.278,51.244,51.513,51.624,51.242,51.574,52.069,52.1,52.182,52.093,52.343,52.21,52.118,52.284,52.434,52.46,52.12,52.38,52.433,52.517,52.54,52.375,52.612,52.862,52.746,52.899,52.986,53.014,53.046,52.928,52.619,52.547,52.233,52.019,52.115,51.967,52.287,51.634,51.287,51.386,51.688,51.54,51.798,51.628,52.146,51.935,52.322,52.365,52.416,52.576,52.75,52.896
11,B,True,26.269,26.235,26.124,25.758,25.7,25.852,25.823,25.851,25.731,25.686,25.782,25.858,26.015,25.805,26.167,26.308,26.653,26.764,27.178,27.263,27.057,27.185,27.205,26.944,26.816,26.832,26.885,26.878,26.549,26.585,26.62,26.667,26.65,26.445,26.383,26.502,26.549,26.673,26.435,26.469,26.596,26.627,26.483,26.712,26.747,26.866,26.856,26.742,26.859,27.131,27.042,27.034,27.334,27.467,27.443,27.458,27.597,27.648,27.59,27.733,27.974,27.983,28.088,27.938,27.7,27.482,27.201,27.15,27.225,27.023,27.065,27.062,27.253,27.366,27.671,27.613,27.732,27.827,27.93,27.966,28.112,28.027,28.109,28.012,28.226,27.883,27.815,27.872,27.676,27.519,27.578,27.591,27.731,27.373,27.684,27.732,27.652,27.507,27.533,27.809,27.944,27.804,27.714,28.185,28.133,28.138,28.188,28.343,28.232,28.415,28.394,28.477,28.717,28.357,28.644,28.626,28.86,28.773,28.774
12,B,True,24.635,0.0,24.772,24.685,24.876,24.804,24.409,24.169,24.125,24.16,24.071,23.935,23.925,24.046,24.19,24.301,24.159,24.324,24.479,24.474,24.474,24.846,25.091,25.113,25.392,25.443,25.288,25.306,25.566,25.555,25.276,25.214,26.016,26.134,26.195,26.333,26.165,26.495,26.552,26.42,26.045,25.653,26.117,25.339,24.941,25.523,25.562,25.7,25.024,24.366,24.918,24.324,24.705,24.771,24.812,24.711,24.715,25.242,25.144,25.267,25.582,25.794,25.793,25.849,25.813,26.163,26.06,25.732,25.871,25.971,25.69,25.598,25.651,25.476,25.641,25.461,25.489,25.709,25.522,25.844,25.984,25.99,26.169,26.481,26.443,26.191,26.511,26.485,26.62,26.37,26.759,26.482,26.881,27.042,27.029,26.883,26.915,26.73,26.834,26.945,26.827,27.223,27.297,26.955,27.161,27.483,27.381,27.473,27.352,26.964,27.05,27.182,26.958,26.865,26.928,27.123,27.043,27.164,27.285
13,B,True,25.041,24.463,24.315,25.436,25.376,24.982,24.807,24.924,25.101,25.123,25.017,24.276,24.237,24.164,24.475,24.753,24.904,25.139,24.898,24.553,24.23,24.043,24.302,24.393,24.072,24.072,23.967,23.768,23.757,23.747,23.792,23.877,23.967,24.068,24.227,24.384,24.281,24.413,24.907,24.563,24.726,24.39,23.988,24.137,24.711,24.239,24.553,24.472,24.021,23.68,23.565,23.728,23.822,23.896,23.888,23.926,24.524,24.377,24.683,24.767,24.463,24.651,24.308,24.493,24.605,24.63,24.348,24.52,24.743,24.607,24.632,24.807,24.928,24.827,24.706,24.55,24.339,24.862,24.616,25.205,25.55,24.922,24.926,25.56,25.608,25.947,25.829,25.917,26.253,25.792,25.871,25.778,25.47,25.692,25.762,25.417,25.208,25.328,25.216,25.182,25.383,25.035,25.638,25.617,25.358,25.118,25.685,25.114,25.074,25.037,25.278,24.904,24.854,24.781,24.47,24.446,24.246,24.392,24.451
14,B,True,39.084,37.155,37.302,37.621,37.699,37.227,36.857,36.235,35.606,35.459,36.086,35.829,36.451,36.772,36.542,36.877,36.917,36.622,36.352,37.069,37.166,37.211,36.868,36.265,36.871,36.43,35.69,35.64,35.641,36.642,35.13,35.735,35.458,34.953,35.394,35.404,35.723,35.724,34.75,35.284,36.412,36.405,35.475,35.384,35.91,35.14,36.422,37.555,38.168,38.724,39.17,39.755,40.235,40.132,39.858,40.694,41.163,40.168,41.144,41.916,40.896,41.775,40.817,38.975,38.414,37.239,37.521,37.677,37.776,39.709,40.509,40.754,41.539,40.214,40.351,40.584,40.582,39.959,39.568,39.721,40.101,40.642,40.557,39.008,38.691,38.889,39.456,39.399,40.413,39.279,39.016,39.784,40.194,40.167,39.269,38.856,38.574,39.686,40.552,38.684,37.919,39.112,39.21,37.653,39.11,38.742,38.813,39.199,37.907,38.548,38.824,39.383,40.139,40.242,39.829,39.842,39.502,39.321,39.56
