,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,ABSNJZH_2,ABSNJZH_3,ABSNJZH_4,ABSNJZH_5,ABSNJZH_6,ABSNJZH_7,ABSNJZH_8,ABSNJZH_9,ABSNJZH_10,ABSNJZH_11,ABSNJZH_12,ABSNJZH_13,ABSNJZH_14,ABSNJZH_15,ABSNJZH_16,ABSNJZH_17,ABSNJZH_18,ABSNJZH_19,ABSNJZH_20,ABSNJZH_21,ABSNJZH_22,ABSNJZH_23,ABSNJZH_24,ABSNJZH_25,ABSNJZH_26,ABSNJZH_27,ABSNJZH_28,ABSNJZH_29,ABSNJZH_30,ABSNJZH_31,ABSNJZH_32,ABSNJZH_33,ABSNJZH_34,ABSNJZH_35,ABSNJZH_36,ABSNJZH_37,ABSNJZH_38,ABSNJZH_39,ABSNJZH_40,ABSNJZH_41,ABSNJZH_42,ABSNJZH_43,ABSNJZH_44,ABSNJZH_45,ABSNJZH_46,ABSNJZH_47,ABSNJZH_48,ABSNJZH_49,ABSNJZH_50,ABSNJZH_51,ABSNJZH_52,ABSNJZH_53,ABSNJZH_54,ABSNJZH_55,ABSNJZH_56,ABSNJZH_57,ABSNJZH_58,ABSNJZH_59,ABSNJZH_60,ABSNJZH_61,ABSNJZH_62,ABSNJZH_63,ABSNJZH_64,ABSNJZH_65,ABSNJZH_66,ABSNJZH_67,ABSNJZH_68,ABSNJZH_69,ABSNJZH_70,ABSNJZH_71,ABSNJZH_72,ABSNJZH_73,ABSNJZH_74,ABSNJZH_75,ABSNJZH_76,ABSNJZH_77,ABSNJZH_78,ABSNJZH_79,ABSNJZH_80,ABSNJZH_81,ABSNJZH_82,ABSNJZH_83,ABSNJZH_84,ABSNJZH_85,ABSNJZH_86,ABSNJZH_87,ABSNJZH_88,ABSNJZH_89,ABSNJZH_90,ABSNJZH_91,ABSNJZH_92,ABSNJZH_93,ABSNJZH_94,ABSNJZH_95,ABSNJZH_96,ABSNJZH_97,ABSNJZH_98,ABSNJZH_99,ABSNJZH_100,ABSNJZH_101,ABSNJZH_102,ABSNJZH_103,ABSNJZH_104,ABSNJZH_105,ABSNJZH_106,ABSNJZH_107,ABSNJZH_108,ABSNJZH_109,ABSNJZH_110,ABSNJZH_111,ABSNJZH_112,ABSNJZH_113,ABSNJZH_114,ABSNJZH_115,ABSNJZH_116,ABSNJZH_117,ABSNJZH_118,ABSNJZH_119
0,M,True,37.094,34.104,39.328,51.861,42.731,39.757,39.359,29.285,37.626,43.816,40.041,46.571,40.845,42.02,53.408,44.545,43.342,53.234,47.57,46.813,35.465,22.872,32.576,24.44,37.863,36.585,40.539,17.223,30.339,27.506,32.688,31.94,26.051,28.297,29.933,28.195,35.598,29.108,21.037,35.536,31.537,48.775,45.283,53.216,36.575,35.532,39.656,38.555,43.872,53.905,50.964,57.509,55.816,49.569,42.964,56.163,73.264,63.947,59.379,51.278,32.774,54.939,51.042,63.967,74.132,60.667,101.08,119.01,133.17,133.2,138.03,114.98,127.88,125.95,149.62,155.3,164.84,170.62,149.06,161.62,163.86,206.24,203.25,225.38,221.56,226.17,241.8,235.64,234.47,231.89,238.27,270.6,287.23,283.15,344.3,351.67,349.0,360.56,406.77,420.46,383.07,426.04,398.91,373.66,394.48,424.48,448.51,418.14,392.13,380.05,426.98,369.37,319.84,276.91,318.92,319.43,328.5,318.16,262.2
1,M,True,50.964,57.509,55.816,49.569,42.964,56.163,73.264,63.947,59.379,51.278,32.774,54.939,51.042,63.967,74.132,60.667,101.08,119.01,133.17,133.2,138.03,114.98,127.88,125.95,149.62,155.3,164.84,170.62,149.06,161.62,163.86,206.24,203.25,225.38,221.56,226.17,241.8,235.64,234.47,231.89,238.27,270.6,287.23,283.15,344.3,351.67,349.0,360.56,406.77,420.46,383.07,426.04,398.91,373.66,394.48,424.48,448.51,418.14,392.13,380.05,426.98,369.37,319.84,276.91,318.92,319.43,328.5,318.16,262.2,270.75,326.83,382.06,390.7,333.67,369.29,418.3,450.0,470.43,447.26,449.43,447.37,438.64,440.19,443.78,436.76,294.77,385.64,393.62,421.45,404.73,380.28,363.7,336.59,309.65,302.68,274.09,292.67,228.72,243.11,225.46,275.45,314.71,251.79,290.55,358.6,326.87,324.9,308.28,336.88,335.14,349.66,341.5,367.36,370.27,412.28,378.57,375.5,355.96,304.49
2,B,False,59.737,70.907,69.89,64.582,73.858,62.618,77.445,78.51,78.214,82.345,85.174,88.585,100.61,95.502,106.37,80.345,79.346,69.194,66.7,65.31,69.916,75.205,74.537,71.425,75.269,68.798,77.658,77.337,80.901,77.592,77.36,74.963,67.18,68.227,67.146,82.339,81.818,79.953,84.307,97.261,102.08,87.797,86.261,92.646,87.716,86.698,82.098,74.42,86.851,84.852,91.836,83.383,70.908,86.394,77.555,61.197,72.208,86.763,93.989,71.553,66.448,69.022,63.997,59.701,63.052,70.042,72.88,76.184,83.249,84.564,68.726,61.214,58.716,66.082,54.91,67.663,67.729,65.765,60.8,67.035,59.756,59.909,59.601,68.98,63.347,48.489,53.904,51.09,55.317,58.242,65.729,61.174,38.395,37.243,45.102,48.722,55.616,64.83,48.632,40.412,36.921,45.198,26.862,22.971,30.283,26.688,32.948,41.658,33.013,30.046,43.354,43.315,39.732,36.863,22.591,28.057,20.968,23.63,26.94
3,B,True,31.164,29.491,28.512,19.509,26.769,25.166,26.434,27.007,23.357,22.984,21.129,23.252,28.833,18.105,25.503,31.453,17.505,29.844,35.14,32.559,42.707,38.606,38.742,40.207,44.568,48.564,47.673,41.085,39.405,32.096,30.206,38.231,47.325,42.372,51.444,41.421,44.662,43.379,45.748,52.378,59.09,51.401,50.297,51.142,53.513,59.417,61.012,64.385,62.579,60.64,62.904,74.394,74.957,73.798,59.834,64.321,65.004,72.292,76.915,71.884,84.898,79.187,77.15,81.495,80.644,73.227,84.241,86.006,78.27,79.178,89.242,84.5,83.483,85.497,82.294,83.9,81.661,95.13,81.638,90.746,91.076,105.79,107.65,95.806,96.229,103.62,87.094,88.427,87.31,84.708,81.132,72.771,80.384,75.169,79.1,81.589,73.623,66.616,57.775,51.472,62.68,61.057,61.061,57.369,54.325,55.486,48.659,43.05,41.846,36.197,36.044,44.604,43.539,44.115,46.751,45.439,42.535,50.714,60.026
4,B,True,42.642,37.951,21.238,29.089,25.59,17.11,20.415,14.325,16.134,17.62,22.118,20.44,7.3152,6.3471,9.481,8.1285,1.6474,6.9378,2.8409,8.1329,15.184,10.673,12.193,14.962,14.758,12.509,11.895,9.3142,5.4853,13.487,10.852,9.2912,6.8758,7.9543,7.6388,5.519,9.2492,6.2725,10.428,12.679,22.69,24.064,20.404,18.236,23.252,21.846,32.126,35.63,38.664,43.558,42.234,38.61,34.592,40.816,34.045,28.968,29.991,34.398,27.795,28.547,29.939,29.594,25.831,27.777,29.692,24.775,28.432,24.388,16.886,14.917,22.899,29.652,30.706,29.457,36.168,26.925,24.783,22.557,23.677,23.582,30.137,19.178,22.817,24.537,22.433,24.932,23.828,27.548,27.47,23.288,23.369,21.705,22.5,33.79,30.042,37.111,33.44,18.349,17.994,12.819,8.1672,2.1247,2.6075,12.871,17.803,6.0132,15.414,16.722,17.351,13.372,14.096,1.8692,13.837,16.503,11.994,13.798,10.244,18.987,14.074
5,B,True,7.8021,9.8228,15.683,12.241,23.114,18.477,17.092,19.864,20.877,24.299,21.369,20.826,20.791,23.907,17.511,17.742,11.351,8.5749,12.191,9.613,3.7188,3.3502,8.6679,6.36,10.135,9.3847,10.348,12.994,14.324,12.36,8.6362,13.393,15.864,13.793,18.832,16.237,14.216,19.534,18.034,21.423,25.546,16.785,23.205,21.925,27.783,17.883,27.737,30.7,42.518,50.977,48.479,46.416,35.892,36.162,33.542,47.108,39.755,31.268,33.282,41.036,46.858,51.752,29.534,33.989,28.145,34.076,32.26,32.294,32.022,40.849,43.399,37.658,24.272,37.252,43.932,50.962,42.862,53.034,33.833,40.551,38.827,31.579,35.285,25.95,23.927,28.617,35.727,43.169,38.907,25.622,32.75,42.945,40.571,47.074,36.923,54.539,52.342,62.222,53.76,60.995,65.906,70.279,68.021,67.103,76.625,56.431,77.876,81.779,88.501,81.727,84.669,89.146,80.247,85.933,68.85,52.933,54.418,59.384,65.954
6,B,False,50.821,56.123,56.222,66.265,66.014,57.681,60.761,53.608,46.161,47.743,37.036,36.452,29.784,33.941,37.558,34.463,26.342,26.575,32.228,34.054,37.064,31.67,25.766,32.58,37.478,36.781,37.59,34.984,38.892,31.749,32.257,24.728,23.965,31.536,26.906,21.083,31.733,31.824,23.298,30.223,32.875,30.094,32.999,33.749,37.617,30.837,32.892,32.972,29.096,30.684,25.162,21.649,31.305,26.777,20.58,25.979,27.63,31.681,38.254,36.497,43.189,45.427,53.494,53.963,54.883,47.656,36.948,40.747,30.002,34.89,29.803,16.842,25.563,26.645,33.608,26.762,30.703,32.399,35.04,23.058,25.933,26.688,25.999,34.575,28.485,42.354,47.825,39.625,44.046,43.982,49.651,46.675,45.731,38.141,46.425,47.95,51.48,47.627,50.676,41.141,49.805,38.417,32.619,34.324,31.843,47.637,34.034,38.652,38.349,36.8,33.897,33.334,42.082,40.493,39.785,32.949,33.734,32.701,29.232
7,B,False,35.721,38.138,31.201,26.295,35.629,33.951,35.932,32.936,31.64,29.548,31.209,32.109,33.445,38.644,33.77,38.383,35.707,34.674,34.091,35.748,37.171,36.934,36.942,33.457,31.76,33.891,35.391,33.051,32.383,37.307,33.872,33.448,33.921,35.219,38.581,36.019,32.962,36.238,31.358,33.463,35.368,31.681,30.837,32.361,31.496,29.596,31.473,32.965,33.616,31.579,27.036,29.154,28.605,24.832,29.324,22.268,30.949,23.615,27.043,24.76,25.517,23.649,29.041,29.338,28.634,28.352,31.004,30.774,32.889,35.172,33.375,32.32,35.139,32.621,31.326,32.894,31.012,32.051,29.749,29.774,29.423,26.402,24.185,28.56,24.253,24.252,24.782,24.132,26.609,28.37,25.549,28.219,24.835,30.233,29.722,29.76,34.888,35.167,36.63,36.068,34.803,32.413,35.962,35.299,38.691,36.006,34.608,36.01,34.377,36.127,35.007,35.292,35.104,33.095,32.13,35.938,35.46,36.91,34.565
8,B,False,7.8954,3.9906,8.5092,0.54245,13.678,10.4,1.5677,12.531,7.7113,1.3579,5.0125,3.7591,28.518,24.952,28.21,27.109,28.538,9.8079,0.84356,10.118,13.341,12.471,33.259,12.561,19.464,19.96,31.645,23.863,24.106,26.674,19.647,27.788,30.619,31.562,23.342,20.116,27.345,22.681,12.589,2.2316,2.6439,8.1543,20.113,13.421,17.881,22.995,16.815,16.363,24.178,25.348,19.758,9.3616,10.208,12.267,35.518,17.887,40.638,31.34,44.465,43.57,39.158,35.061,46.099,40.609,33.578,30.529,28.982,32.799,29.584,37.149,45.827,55.872,53.695,50.17,42.992,56.456,11.641,41.994,36.632,11.486,6.8658,25.786,43.465,13.365,15.85,6.6365,7.751,11.61,2.0496,3.691,3.1193,19.572,11.362,44.293,22.02,14.678,56.912,47.024,45.122,36.96,39.1,79.036,37.68,54.243,78.554,146.65,116.29,117.16,111.19,112.18,128.85,93.494,149.4,157.58,157.23,166.01,136.36,150.91,151.91
9,B,False,14.924,15.321,21.534,10.856,7.0799,8.0939,15.631,16.732,15.724,16.657,11.76,16.202,12.05,17.096,17.742,22.819,11.722,12.671,11.339,9.6315,9.8553,10.202,16.82,14.098,17.328,17.202,21.57,15.766,18.757,15.152,5.6746,9.1858,10.549,12.187,7.9292,6.361,13.828,1.1838,0.42166,13.804,13.306,3.7736,9.2629,2.3814,12.302,6.5554,9.3527,18.107,15.077,12.098,12.622,6.702,8.7721,5.5942,5.7274,6.3717,10.945,2.8989,5.3476,9.2525,10.451,8.1792,18.078,22.537,26.636,26.62,30.761,24.122,11.387,16.507,23.462,26.497,24.645,20.265,22.461,18.112,16.352,8.6923,10.79,15.299,10.441,24.129,13.487,19.141,6.7073,14.655,16.172,8.1912,3.9601,17.65,17.918,22.261,28.334,25.165,19.471,8.953,19.428,24.92,21.278,28.164,29.132,17.566,23.168,27.366,27.971,15.674,25.769,28.662,34.184,34.594,28.769,24.034,29.544,24.649,32.379,32.113,33.371,30.116,25.492
10,B,True,46.521,32.795,30.45,32.712,23.674,22.371,31.372,27.64,34.855,43.318,36.925,56.136,64.378,60.576,64.569,68.936,78.579,84.783,93.936,77.619,83.25,77.936,69.262,63.142,80.852,80.46,77.014,67.645,70.417,67.487,69.207,71.014,62.869,69.783,56.137,69.898,60.685,65.531,65.436,60.689,67.939,64.892,64.598,58.641,45.621,52.869,51.433,44.752,29.425,35.332,30.435,18.767,22.451,33.621,19.869,37.005,29.502,24.615,16.755,34.222,15.233,27.185,31.89,42.598,34.105,38.53,37.304,26.194,12.517,27.171,14.462,9.7169,11.411,14.069,10.674,6.0092,12.661,12.865,19.401,10.622,4.6761,1.0289,4.7877,5.223,11.415,7.0411,0.63297,2.4467,4.1578,13.51,14.396,14.428,7.5073,7.7839,5.1543,5.0257,7.2218,2.6323,17.162,23.727,13.442,28.643,36.812,39.043,38.5,34.237,35.596,31.476,18.13,12.861,2.217,5.4053,3.9652,5.6627,22.869,15.364,31.528,25.878,32.592
11,B,True,238.1,226.27,225.75,241.77,232.33,227.01,217.69,208.58,202.81,194.76,187.27,177.62,185.39,184.98,179.95,179.33,207.09,202.4,194.24,203.35,200.57,203.74,220.67,207.08,198.08,228.08,216.19,217.98,216.61,206.33,218.21,196.95,198.61,205.04,185.15,174.13,172.91,165.03,158.77,164.25,176.85,173.08,179.73,165.1,177.17,188.43,188.09,189.73,201.03,216.11,203.63,194.58,211.48,228.18,215.99,209.4,236.88,231.29,222.0,216.54,212.13,215.3,196.76,194.55,164.4,180.06,173.97,164.98,174.33,158.81,167.27,175.89,166.86,170.4,195.02,191.81,186.79,193.96,195.12,189.94,179.65,183.08,164.58,162.89,159.54,150.03,142.0,147.0,161.74,153.53,160.53,167.82,149.53,164.88,155.66,153.29,151.04,154.15,155.04,166.13,159.36,146.28,149.95,168.24,143.36,138.91,137.08,120.57,120.94,137.99,127.31,117.76,136.32,122.68,129.43,144.04,135.82,140.79,148.42
12,B,True,50.689,55.896,54.06,52.51,50.881,53.744,49.486,55.381,53.142,52.934,59.392,55.09,59.738,55.1,58.556,54.61,59.535,48.66,51.701,59.824,59.441,55.811,54.928,53.724,56.463,49.584,52.897,46.181,46.401,57.067,54.889,40.775,43.599,52.335,44.555,47.528,40.456,49.956,56.765,60.396,58.616,52.879,59.315,49.608,51.235,61.855,56.637,66.095,53.779,33.312,52.766,46.821,51.363,47.157,53.006,57.085,62.535,64.863,62.245,60.844,61.496,63.089,63.698,73.526,67.261,76.196,67.697,62.397,68.99,72.89,75.112,78.281,82.293,85.502,82.338,86.884,87.009,88.839,93.267,90.015,88.765,95.761,92.184,82.92,84.558,86.683,92.358,89.636,97.353,96.848,99.426,98.886,101.23,94.863,88.903,74.641,80.991,72.295,60.155,59.81,66.095,70.163,68.739,69.079,63.335,68.954,77.878,59.136,59.795,53.882,61.484,52.665,60.449,60.639,58.548,61.191,54.178,55.256,47.701
13,B,True,11.525,12.906,17.657,11.963,12.577,9.0299,7.9872,4.6594,11.351,7.2558,3.7632,9.6375,10.544,9.751,13.875,14.638,11.773,8.0648,11.006,13.222,11.826,12.306,7.9891,6.3125,6.0307,8.3802,6.4248,3.6281,3.0231,0.9257,4.2169,5.7137,2.4445,5.5341,7.8558,5.6733,6.4817,6.5257,4.9303,3.1627,2.5471,1.6593,0.058881,1.7833,0.18598,8.2912,7.8339,5.4193,5.1321,0.74259,0.58648,4.2357,2.3265,1.9246,2.5923,2.7866,1.0368,3.2665,2.7975,4.2905,2.2826,0.86463,1.074,1.9212,1.5542,0.31548,0.87235,1.9253,0.037004,1.664,0.47438,0.94432,0.35778,2.5489,4.9615,5.3932,6.0872,5.9649,4.2471,3.5893,5.263,14.283,9.4538,9.74,9.2009,9.0417,8.111,8.3501,9.9744,9.0571,8.6032,16.111,10.075,11.71,10.471,12.971,12.828,12.263,11.39,11.166,12.253,11.84,14.451,11.263,15.048,13.211,13.724,13.403,14.015,9.7739,7.6335,6.7463,4.3553,1.1906,3.8034,3.3234,1.4376,2.894,1.2073
14,B,True,1.4123,2.8495,1.8335,1.0172,7.7306,1.857,13.156,13.593,15.035,8.654,4.3551,6.5506,10.11,4.3971,3.3301,7.534,9.3045,4.3278,7.7595,11.538,14.358,12.128,14.141,15.5,10.911,11.022,14.706,17.278,14.207,10.755,8.2715,12.773,11.277,8.2408,7.212,12.184,12.969,10.95,11.058,10.769,9.7248,14.605,17.4,11.138,13.288,15.08,12.844,10.262,15.478,12.801,15.413,19.77,22.96,26.354,20.623,15.994,15.62,23.128,20.936,27.337,24.114,35.968,37.929,50.552,58.317,58.94,63.037,71.677,82.849,105.33,103.19,109.54,102.68,95.388,100.14,90.267,95.335,77.557,64.501,57.399,66.781,67.171,75.548,82.633,84.241,89.499,74.962,86.208,86.182,89.534,95.21,114.09,94.921,106.99,118.98,115.97,105.48,102.81,95.178,128.38,121.34,111.57,116.74,102.05,90.918,98.515,92.664,106.93,108.2,91.674,91.524,82.941,73.132,75.495,78.329,63.384,65.909,67.566,76.729
15,B,True,1.4278,4.5835,9.9473,12.293,6.8504,24.871,16.888,17.32,17.23,16.085,19.992,13.388,14.942,32.601,30.749,37.396,34.787,32.694,36.786,38.945,28.196,33.902,37.03,37.97,43.607,45.324,45.762,48.806,54.352,47.576,54.421,55.241,65.701,62.703,56.93,57.891,63.783,69.686,69.477,82.453,82.127,92.672,90.601,78.153,72.793,83.438,82.85,84.727,81.119,86.222,75.03,62.887,73.687,74.477,65.599,66.529,68.971,69.02,76.191,65.816,66.456,66.167,69.228,76.443,75.933,71.924,74.389,63.599,59.099,70.547,66.165,71.265,66.555,62.047,53.37,53.387,60.035,59.774,60.017,64.328,66.095,57.645,60.704,61.91,62.296,55.426,57.762,44.531,43.641,51.694,36.595,27.925,37.824,31.217,49.069,48.288,40.389,46.961,55.454,53.193,46.03,41.633,40.384,44.659,38.689,34.141,29.6,31.747,37.245,32.447,34.648,36.318,36.812,36.988,39.441,26.138,34.515,31.714,43.874
16,B,True,4.6389,9.1037,2.911,1.0073,3.3315,1.042,5.7445,7.4778,4.0155,8.9403,4.4007,2.647,3.4498,1.6177,8.0886,1.4481,2.2554,0.27949,5.6313,5.1908,6.6774,11.609,4.1765,0.26355,11.637,7.8468,4.7012,5.3891,3.9269,1.6562,3.1536,7.451,9.6407,2.6899,0.61497,0.87202,5.4767,2.5126,5.0817,0.30705,3.9657,1.2884,6.2167,0.22525,5.4382,10.81,7.4188,9.8301,11.928,7.6114,17.139,21.236,14.894,18.236,9.0406,20.732,17.935,13.791,23.111,11.335,5.3367,17.466,21.003,16.985,18.41,8.5783,20.769,22.711,18.645,12.705,11.14,13.337,23.05,19.576,26.991,31.947,35.057,28.33,20.698,37.224,33.042,36.166,42.91,45.704,42.909,43.819,41.221,49.853,52.293,50.614,49.701,44.814,45.96,36.078,38.842,43.479,33.729,45.476,46.574,42.877,39.138,47.588,48.186,42.878,42.737,37.664,39.244,38.036,28.422,21.296,24.754,28.655,32.705,29.334,26.855,33.025,35.883,31.249,20.565
17,B,False,34.572,38.31,36.053,33.993,29.408,20.794,25.105,23.135,17.775,26.989,29.071,36.512,29.496,32.466,37.694,25.359,36.963,43.754,33.32,35.726,20.447,26.63,22.17,19.537,23.043,22.611,22.192,28.278,11.269,13.331,15.593,10.471,4.5824,14.015,5.2447,16.543,17.661,19.633,23.344,12.674,23.096,27.022,29.682,24.056,31.58,23.765,35.312,32.362,31.571,31.733,25.435,30.151,23.606,15.001,31.134,30.301,30.402,26.804,32.524,49.093,44.32,47.809,50.041,45.486,42.586,42.188,62.733,52.328,55.461,42.619,40.309,41.597,32.542,30.796,29.933,24.853,20.599,20.198,18.737,16.487,23.837,29.085,35.026,34.938,30.843,40.181,32.287,35.25,43.708,30.995,39.18,25.424,24.872,31.543,44.996,27.95,24.543,15.663,17.583,14.171,17.287,15.033,3.7455,8.4733,7.7914,22.937,23.642,27.352,19.491,19.637,15.046,15.633,15.268,10.116,14.993,12.796,8.193,14.084,16.44
18,B,False,9.4827,11.848,7.6466,7.8021,9.8228,15.683,12.241,23.114,18.477,17.092,19.864,20.877,24.299,21.369,20.826,20.791,23.907,17.511,17.742,11.351,8.5749,12.191,9.613,3.7188,3.3502,8.6679,6.36,10.135,9.3847,10.348,12.994,14.324,12.36,8.6362,13.393,15.864,13.793,18.832,16.237,14.216,19.534,18.034,21.423,25.546,16.785,23.205,21.925,27.783,17.883,27.737,30.7,42.518,50.977,48.479,46.416,35.892,36.162,33.542,47.108,39.755,31.268,33.282,41.036,46.858,51.752,29.534,33.989,28.145,34.076,32.26,32.294,32.022,40.849,43.399,37.658,24.272,37.252,43.932,50.962,42.862,53.034,33.833,40.551,38.827,31.579,35.285,25.95,23.927,28.617,35.727,43.169,38.907,25.622,32.75,42.945,40.571,47.074,36.923,54.539,52.342,62.222,53.76,60.995,65.906,70.279,68.021,67.103,76.625,56.431,77.876,81.779,88.501,81.727,84.669,89.146,80.247,85.933,68.85,52.933
19,B,True,63.003,56.059,62.496,69.146,65.481,66.931,71.677,65.86,63.988,66.692,64.607,69.427,76.199,73.436,65.691,68.053,73.534,70.051,72.585,71.325,69.268,68.321,71.218,71.163,70.842,72.269,71.031,72.631,78.505,69.343,64.199,60.952,68.794,71.003,69.831,69.611,69.003,67.853,56.506,59.525,58.701,59.009,57.055,51.899,62.06,54.421,57.319,55.54,56.541,55.187,53.304,50.023,53.962,56.333,64.153,61.547,62.292,62.52,60.16,62.36,63.003,65.755,59.568,51.596,55.556,63.255,62.83,57.68,62.303,64.102,62.571,62.506,58.264,58.417,53.155,63.254,59.819,69.515,67.159,57.762,56.819,55.789,60.123,61.882,58.08,56.868,55.031,64.519,67.968,63.188,62.227,64.673,55.036,53.669,56.517,60.849,63.104,61.528,64.377,61.716,68.424,58.066,63.438,64.438,61.192,53.706,64.708,64.832,67.879,63.917,68.569,60.364,57.56,60.559,63.21,59.19,59.888,62.387,57.407
20,B,False,51.444,41.421,44.662,43.379,45.748,52.378,59.09,51.401,50.297,51.142,53.513,59.417,61.012,64.385,62.579,60.64,62.904,74.394,74.957,73.798,59.834,64.321,65.004,72.292,76.915,71.884,84.898,79.187,77.15,81.495,80.644,73.227,84.241,86.006,78.27,79.178,89.242,84.5,83.483,85.497,82.294,83.9,81.661,95.13,81.638,90.746,91.076,105.79,107.65,95.806,96.229,103.62,87.094,88.427,87.31,84.708,81.132,72.771,80.384,75.169,79.1,81.589,73.623,66.616,57.775,51.472,62.68,61.057,61.061,57.369,54.325,55.486,48.659,43.05,41.846,36.197,36.044,44.604,43.539,44.115,46.751,45.439,42.535,50.714,60.026,60.766,55.339,44.858,50.046,51.425,41.276,38.841,38.916,29.797,29.126,39.732,40.993,35.006,38.845,34.608,41.433,31.045,44.063,36.775,35.225,33.916,35.728,42.324,35.704,39.543,29.856,22.98,24.474,27.767,34.39,35.323,31.818,25.734,26.95
21,B,True,41.711,45.988,50.194,50.42,41.153,39.622,39.371,42.315,42.613,43.656,40.196,31.165,39.439,45.884,54.072,66.101,56.743,59.806,58.258,55.826,59.369,58.366,65.013,62.197,63.245,68.879,67.511,72.877,63.844,70.63,65.578,62.35,63.274,71.678,74.128,64.246,66.316,71.472,66.022,62.575,63.267,61.815,58.106,63.592,68.943,68.771,74.668,65.533,65.611,62.326,64.996,58.459,64.991,46.276,51.333,54.592,51.124,46.965,36.69,38.968,30.258,31.164,29.491,28.512,19.509,26.769,25.166,26.434,27.007,23.357,22.984,21.129,23.252,28.833,18.105,25.503,31.453,17.505,29.844,35.14,32.559,42.707,38.606,38.742,40.207,44.568,48.564,47.673,41.085,39.405,32.096,30.206,38.231,47.325,42.372,51.444,41.421,44.662,43.379,45.748,52.378,59.09,51.401,50.297,51.142,53.513,59.417,61.012,64.385,62.579,60.64,62.904,74.394,74.957,73.798,59.834,64.321,65.004,72.292
22,B,False,59.806,58.258,55.826,59.369,58.366,65.013,62.197,63.245,68.879,67.511,72.877,63.844,70.63,65.578,62.35,63.274,71.678,74.128,64.246,66.316,71.472,66.022,62.575,63.267,61.815,58.106,63.592,68.943,68.771,74.668,65.533,65.611,62.326,64.996,58.459,64.991,46.276,51.333,54.592,51.124,46.965,36.69,38.968,30.258,31.164,29.491,28.512,19.509,26.769,25.166,26.434,27.007,23.357,22.984,21.129,23.252,28.833,18.105,25.503,31.453,17.505,29.844,35.14,32.559,42.707,38.606,38.742,40.207,44.568,48.564,47.673,41.085,39.405,32.096,30.206,38.231,47.325,42.372,51.444,41.421,44.662,43.379,45.748,52.378,59.09,51.401,50.297,51.142,53.513,59.417,61.012,64.385,62.579,60.64,62.904,74.394,74.957,73.798,59.834,64.321,65.004,72.292,76.915,71.884,84.898,79.187,77.15,81.495,80.644,73.227,84.241,86.006,78.27,79.178,89.242,84.5,83.483,85.497,82.294
23,B,False,37.428,37.182,35.489,48.064,47.776,61.959,68.901,76.711,72.28,74.433,82.002,79.949,78.178,72.801,72.98,65.885,71.079,74.059,78.121,77.239,85.977,94.779,84.831,97.951,90.935,107.11,99.119,92.069,87.151,88.512,84.934,83.612,79.293,87.253,82.993,81.881,86.891,87.855,93.343,84.971,72.478,81.323,88.729,86.216,72.841,72.081,69.321,77.825,95.641,87.51,76.192,62.568,61.095,55.28,64.941,73.823,66.55,65.41,60.718,75.253,63.956,55.746,55.745,59.524,63.109,59.004,56.464,50.682,55.961,60.39,64.639,62.833,59.088,56.892,61.75,75.699,72.548,72.564,63.429,66.844,65.161,67.097,65.087,74.256,60.9,67.104,54.167,59.17,66.821,61.505,64.506,61.083,56.537,60.263,55.535,57.817,54.156,62.157,50.255,42.03,44.169,54.71,55.004,53.462,62.329,52.575,49.192,52.157,52.339,57.74,59.64,51.111,53.806,55.402,56.14,47.977,52.193,51.103,46.853
24,B,False,80.991,72.295,60.155,59.81,66.095,70.163,68.739,69.079,63.335,68.954,77.878,59.136,59.795,53.882,61.484,52.665,60.449,60.639,58.548,61.191,54.178,55.256,47.701,49.154,47.89,45.828,42.383,42.456,48.957,38.056,41.394,40.568,39.472,42.678,44.77,46.104,39.361,45.933,38.326,43.55,46.875,41.652,50.74,41.676,43.26,42.454,56.92,53.948,54.247,44.729,53.224,48.382,54.063,50.278,52.131,57.112,52.813,48.615,51.713,53.206,57.89,64.658,58.498,64.956,70.233,64.4,64.529,62.874,58.011,57.959,63.191,63.598,63.486,60.896,55.17,52.965,55.036,51.022,50.499,53.323,59.426,59.33,57.019,45.576,53.707,52.907,64.033,61.641,64.037,62.519,62.788,71.032,63.94,74.23,64.307,67.936,67.161,64.678,57.302,71.168,72.782,70.706,70.344,66.338,56.438,60.313,68.174,64.364,63.777,60.638,59.112,58.337,58.553,54.17,48.605,43.579,42.631,30.522,35.195
