,FLARE_TYPE,COINCIDENCE,MEANJZD_1,MEANJZD_2,MEANJZD_3,MEANJZD_4,MEANJZD_5,MEANJZD_6,MEANJZD_7,MEANJZD_8,MEANJZD_9,MEANJZD_10,MEANJZD_11,MEANJZD_12,MEANJZD_13,MEANJZD_14,MEANJZD_15,MEANJZD_16,MEANJZD_17,MEANJZD_18,MEANJZD_19,MEANJZD_20,MEANJZD_21,MEANJZD_22,MEANJZD_23,MEANJZD_24,MEANJZD_25,MEANJZD_26,MEANJZD_27,MEANJZD_28,MEANJZD_29,MEANJZD_30,MEANJZD_31,MEANJZD_32,MEANJZD_33,MEANJZD_34,MEANJZD_35,MEANJZD_36,MEANJZD_37,MEANJZD_38,MEANJZD_39,MEANJZD_40,MEANJZD_41,MEANJZD_42,MEANJZD_43,MEANJZD_44,MEANJZD_45,MEANJZD_46,MEANJZD_47,MEANJZD_48,MEANJZD_49,MEANJZD_50,MEANJZD_51,MEANJZD_52,MEANJZD_53,MEANJZD_54,MEANJZD_55,MEANJZD_56,MEANJZD_57,MEANJZD_58,MEANJZD_59,MEANJZD_60,MEANJZD_61,MEANJZD_62,MEANJZD_63,MEANJZD_64,MEANJZD_65,MEANJZD_66,MEANJZD_67,MEANJZD_68,MEANJZD_69,MEANJZD_70,MEANJZD_71,MEANJZD_72,MEANJZD_73,MEANJZD_74,MEANJZD_75,MEANJZD_76,MEANJZD_77,MEANJZD_78,MEANJZD_79,MEANJZD_80,MEANJZD_81,MEANJZD_82,MEANJZD_83,MEANJZD_84,MEANJZD_85,MEANJZD_86,MEANJZD_87,MEANJZD_88,MEANJZD_89,MEANJZD_90,MEANJZD_91,MEANJZD_92,MEANJZD_93,MEANJZD_94,MEANJZD_95,MEANJZD_96,MEANJZD_97,MEANJZD_98,MEANJZD_99,MEANJZD_100,MEANJZD_101,MEANJZD_102,MEANJZD_103,MEANJZD_104,MEANJZD_105,MEANJZD_106,MEANJZD_107,MEANJZD_108,MEANJZD_109,MEANJZD_110,MEANJZD_111,MEANJZD_112,MEANJZD_113,MEANJZD_114,MEANJZD_115,MEANJZD_116,MEANJZD_117,MEANJZD_118,MEANJZD_119
0,X,False,0.11124,0.10488,0.13981,0.18104,0.14171,0.14921,0.1414,0.1156,0.10094,0.058417,0.050833,0.079978,0.074147,0.10393,0.053482,0.078941,0.10347,0.11805,0.090701,0.10454,0.14531,0.12543,0.085599,0.085734,0.1195,0.098516,0.12791,0.084595,0.12962,0.1304,0.18751,0.1413,0.14815,0.15183,0.1491,0.036511,0.070017,-0.012525,0.021894,0.022669,0.042407,0.033418,0.018721,0.062744,0.10825,0.057106,0.0048534,0.06902,0.063211,0.029997,0.032279,0.06529,0.016815,-0.013408,0.0053434,0.03732,0.022137,0.030189,0.071126,0.095043,0.091934,0.054282,0.082274,0.066219,0.048557,0.03716,0.056225,0.06508,0.011387,0.08741,0.050248,0.049526,0.0058396,0.059407,0.050299,0.066476,0.0071662,0.034055,0.087959,0.050117,0.065925,0.10609,0.12409,0.16584,0.15495,0.16081,0.15016,0.20283,0.13697,0.12901,0.16627,0.14915,0.17833,0.18415,0.16875,0.18872,0.19082,0.23088,0.21681,0.19555,0.18196,0.15787,0.19267,0.19981,0.19445,0.18081,0.1935,0.22427,0.24212,0.25083,0.30443,0.34319,0.30504,0.3119,0.28017,0.2875,0.34057,0.30556,0.29964
1,X,False,0.39676,0.45178,0.47101,0.44905,0.42835,0.50758,0.46046,0.51279,0.41747,0.47587,0.45755,0.48959,0.40291,0.43219,0.43272,0.4399,0.38031,0.41706,0.44645,0.36111,0.35767,0.4354,0.41381,0.31808,0.38763,0.34741,0.28981,0.20218,0.27481,0.26081,0.23599,0.2834,0.25691,0.22409,0.24269,0.2706,0.26414,0.28043,0.26866,0.23582,0.26664,0.26487,0.28411,0.37315,0.34066,0.26549,0.2972,0.31987,0.29595,0.26155,0.28681,0.23511,0.26775,0.29297,0.29165,0.22386,0.27902,0.25967,0.25643,0.25514,0.26378,0.26485,0.32561,0.32732,0.31879,0.26279,0.28313,0.23355,0.26853,0.28767,0.30764,0.31225,0.29897,0.28504,0.27187,0.21498,0.27081,0.2559,0.1575,0.20293,0.31216,0.22313,0.2526,0.29183,0.27261,0.22455,0.24864,0.24249,0.21778,0.16018,0.18129,0.19618,0.22741,0.20212,0.23019,0.24708,0.28822,0.31341,0.29517,0.29887,0.29319,0.25327,0.12536,0.27486,0.27777,0.31982,0.25144,0.32787,0.30473,0.27343,0.22643,0.26291,0.26985,0.24855,0.23759,0.24912,0.29476,0.29233,0.29526
2,X,False,0.066541,0.064499,0.027927,0.045047,0.046233,0.02813,-0.013745,0.0088658,0.051629,0.039532,0.040438,0.026534,0.052211,0.050822,0.02838,0.10456,0.053616,0.097838,0.11577,0.062239,0.056641,0.056399,0.069425,0.03722,0.050449,0.085085,0.029573,0.04037,0.061253,0.065533,0.066442,0.088051,0.061708,0.070752,0.080307,0.091358,0.037542,0.069611,0.067042,0.022424,-1.8406e-05,0.04082,0.015152,0.065535,0.046882,0.034412,0.0079702,-0.056393,0.025974,0.020199,0.017165,0.019981,0.0013271,-0.0157,-0.041232,0.027572,0.0052804,-0.040581,-0.032636,-0.034684,-0.0078165,-0.10157,0.017299,-0.0024718,0.073569,0.00058842,0.021361,0.026612,0.032283,0.10141,0.063629,0.079926,0.10271,0.086922,0.13206,0.092872,0.11648,0.097177,0.080066,0.10581,0.12082,0.032216,0.11052,0.085286,0.10107,0.10742,0.1395,0.083427,0.10882,0.095978,0.062921,0.071107,0.076817,0.060045,0.082663,0.102,0.072462,0.10039,0.056649,0.084608,0.07326,0.04141,0.083878,0.073332,0.046,0.076991,0.066578,0.066178,0.086254,0.096259,0.082637,0.10573,0.082015,0.093598,0.093645,0.05769,0.11529,0.13753,0.096498
3,X,False,0.37759,0.43689,0.44408,0.47136,0.42905,0.37456,0.38685,0.41699,0.34251,0.34819,0.34015,0.33258,0.35988,0.23711,0.36597,0.34606,0.33831,0.31805,0.38744,0.34264,0.34038,0.24972,0.23909,0.32518,0.30942,0.31687,0.22487,0.28321,0.23113,0.16649,0.27917,0.19972,0.2535,0.25068,0.25874,0.19551,0.27948,0.089171,0.31614,0.29214,0.34489,0.35623,0.24914,0.31838,0.4482,0.35281,0.20155,0.26353,0.23266,0.24449,0.25343,0.21353,0.27766,0.39106,0.38307,0.31842,0.21884,0.39102,0.36091,0.39196,0.35982,0.33255,0.36387,0.35671,0.41343,0.35148,0.46453,0.49096,0.35798,0.25225,0.43908,0.3412,0.32858,0.35546,0.40461,0.36021,0.39752,0.38009,0.41012,0.36315,0.35396,0.32626,0.34991,0.33181,0.41417,0.44544,0.37742,0.29337,0.3468,0.21302,0.26689,0.27605,0.24715,0.18846,0.20072,0.14582,0.18575,0.17652,0.21207,0.19554,0.21068,0.084858,0.096616,0.17427,0.18607,0.172,0.27464,0.30213,0.19121,0.21658,0.28689,0.24774,0.1859,0.17073,0.21701,0.19395,0.21788,0.24626,0.31877
4,X,True,0.2471,0.16808,0.27453,0.22309,0.24328,0.27617,0.12947,0.33043,0.31094,0.33664,0.27674,0.25237,0.25501,0.26727,0.26438,0.20768,0.24027,0.26776,0.31576,0.28328,0.2912,0.18205,0.22297,0.18925,0.22136,0.28717,0.16361,0.18188,0.21853,0.25865,0.2768,0.28364,0.33347,0.31361,0.24369,0.36744,0.29036,0.30701,0.38156,0.42993,0.37018,0.3796,0.42116,0.45447,0.3317,0.41105,0.20921,0.33421,0.30332,0.25762,0.41635,0.34472,0.41733,0.39089,0.32653,0.35313,0.32865,0.39028,0.28901,0.33584,0.3354,0.38611,0.30799,0.41731,0.43691,0.38555,0.42009,0.44776,0.43533,0.45368,0.33698,0.41771,0.39595,0.44852,0.40873,0.37385,0.3971,0.45405,0.46421,0.42538,0.37971,0.40985,0.35876,0.29781,0.30941,0.34769,0.2678,0.29985,0.25552,0.21272,0.24441,0.33794,0.26121,0.22669,0.18744,0.14538,0.083103,0.08156,0.1016,0.16687,0.18959,0.27243,0.19374,0.31637,0.22832,0.37818,0.3386,0.4522,0.34201,0.35101,0.36996,0.4001,0.29079,0.27144,0.24634,0.23199,0.2247,0.21611,0.22006
5,X,False,-0.028996,-0.0033343,-0.050259,-0.0084686,0.069043,-0.039216,-0.02834,-0.024848,-0.027795,-0.035258,-0.003619,-0.018361,0.03001,0.014382,0.02274,0.019027,0.021931,0.041026,0.040051,-0.0071426,0.017641,-0.017557,-0.011438,-0.032872,-0.053903,-0.037704,-0.036935,-0.025974,-0.023035,-0.0029742,-0.024126,0.019773,-0.027831,-0.011487,-0.041282,0.0016855,-0.040131,-0.0072684,-0.00082794,-0.01984,-0.031311,-0.017961,-0.021848,-0.0040933,-0.014513,0.013618,-0.00025285,-0.0064823,0.042994,0.0023747,0.0098198,-0.006275,0.012905,0.014642,-0.00064236,-0.0035652,-0.015145,-0.0045078,-0.018113,-0.010208,-0.015439,-0.023471,-0.04544,-0.018738,-0.030461,-0.027635,-0.010978,-0.009097,0.0093726,-0.0041186,-0.021912,0.014362,-0.0015013,-0.011481,0.01041,0.013408,-0.018095,-0.033354,0.0042724,-0.018787,-0.011407,-0.021316,-0.038118,-0.021198,0.013774,0.016782,0.021988,-0.0077068,-0.022771,0.018655,-0.0012852,-0.015186,-0.017097,-0.030886,-0.04435,-0.037581,-0.047898,-0.022347,-0.022209,-0.018688,-0.0016081,-0.022903,0.0014935,0.020495,0.0073064,0.037549,0.049654,0.026998,0.027001,0.0071413,0.030158,0.031604,0.034107,0.026174,-0.018942,0.0056273,-0.011354,-0.015587,-0.01458
6,X,True,0.088182,0.068162,-0.0069056,0.068125,0.074085,0.040607,0.034446,0.038883,0.070209,0.067126,0.063152,0.11083,0.085462,0.099266,0.092295,0.070037,0.088022,0.083541,0.11864,0.18824,0.089109,0.13309,0.11817,0.11947,0.11369,0.03281,0.02639,0.04694,-0.013252,-0.017575,0.023328,-0.002719,0.047137,0.021757,0.061314,0.082043,0.016808,0.08577,0.063437,0.038823,0.14658,0.07519,0.028192,0.050358,0.04111,0.025556,-0.0026578,-0.030036,-0.061711,-0.028858,0.039541,0.067192,0.004401,-0.011966,0.020904,-0.015943,0.068762,0.023596,-0.017178,0.0027582,0.017485,0.050707,0.036115,0.04523,-0.024165,0.0010469,0.053457,-0.018464,0.056089,0.059974,0.058916,-0.018734,-0.020311,-0.025984,0.0016503,-0.012652,-0.046296,0.035401,0.067814,0.044092,0.037795,0.04743,0.044072,0.083021,0.094024,0.009543,0.056972,0.096133,0.0083613,0.042586,0.10432,0.044208,0.027539,0.010938,0.046596,0.040223,0.03304,0.0088333,-0.018915,-0.036676,0.0099499,-0.017509,0.00018657,0.0066094,-0.00028346,-0.020367,-0.051892,-0.071243,-0.043689,-9.4441e-05,-0.02298,-0.0425,-0.0016025,-0.034581,-0.013713,-0.0015493,0.025832,0.016825,-0.0037951
7,X,False,-0.2113,-0.16079,-0.12979,-0.17618,-0.13679,-0.194,-0.19547,-0.14255,-0.088461,-0.068338,-0.036615,-0.1265,-0.14892,-0.12167,-0.14875,-0.086322,-0.074774,-0.096384,-0.073948,-0.15803,-0.11275,-0.15278,-0.18196,-0.18244,-0.1526,-0.063724,-0.097567,-0.15142,-0.12896,-0.11618,-0.079788,-0.1554,-0.07564,-0.051786,0.021578,-0.039843,-0.018611,0.022808,0.0038691,0.011711,0.0072352,-0.025166,-0.0032518,-0.045736,-0.083556,-0.028262,-0.070905,-0.088317,-0.098197,-0.075577,-0.092255,-0.11259,-0.13257,-0.11061,-0.14989,-0.15716,-0.15325,-0.16077,-0.1483,-0.14612,-0.18469,-0.20393,-0.12432,-0.17762,-0.13512,-0.15303,-0.13316,-0.11379,-0.12693,-0.15949,-0.10663,-0.13722,-0.11647,-0.11891,-0.13146,-0.11994,-0.11841,-0.16136,-0.19502,-0.19656,-0.23402,-0.21006,-0.21375,-0.21047,-0.1882,-0.17393,-0.1633,-0.1751,-0.16052,-0.16765,-0.14046,-0.1609,-0.12169,-0.13389,-0.15048,-0.14191,-0.13682,-0.13975,-0.12191,-0.12968,-0.10933,-0.082847,-0.092367,-0.098364,-0.14766,-0.087324,-0.12506,-0.098336,-0.11693,-0.094376,-0.15736,-0.13213,-0.12553,-0.15225,-0.1437,-0.13556,-0.16853,-0.16963,-0.15835
8,X,False,0.24945,0.26023,0.25616,0.27467,0.25066,0.24144,0.26593,0.25406,0.25838,0.23582,0.25886,0.23168,0.23943,0.23589,0.257,0.26447,0.24421,0.24365,0.28186,0.24067,0.26859,0.26107,0.26049,0.29011,0.21199,0.27966,0.26049,0.24207,0.26042,0.23194,0.25718,0.24159,0.22173,0.20605,0.24274,0.24955,0.25154,0.21935,0.20485,0.23414,0.23448,0.24153,0.22252,0.24884,0.24972,0.26162,0.23778,0.22086,0.20137,0.20839,0.20247,0.21254,0.19492,0.19897,0.19764,0.21302,0.21436,0.22047,0.20188,0.21157,0.24398,0.20987,0.22492,0.21941,0.21722,0.24397,0.231,0.23843,0.24123,0.26041,0.25007,0.26097,0.27399,0.27688,0.28047,0.26882,0.29131,0.27055,0.27559,0.3282,0.24126,0.29443,0.26684,0.26644,0.24863,0.22814,0.22311,0.20742,0.21401,0.19623,0.21674,0.20651,0.25885,0.26715,0.22864,0.24162,0.25793,0.26545,0.25141,0.24764,0.20907,0.24885,0.20834,0.25604,0.24451,0.23416,0.25151,0.24677,0.22356,0.23438,0.22817,0.24133,0.23897,0.21993,0.22163,0.22213,0.22177,0.22387,0.20825
9,X,False,-0.084806,-0.089071,-0.057105,-0.099041,-0.057116,-0.19815,-0.027689,-0.16862,-0.23121,-0.13771,-0.21934,-0.037661,-0.26654,-0.25246,-0.15323,-0.15689,-0.11666,-0.14875,-0.12568,-0.10097,-0.054837,-0.087648,-0.11049,-0.072173,-0.13178,-0.048744,-0.075989,-0.0682,-0.049655,-0.086352,-0.021172,-0.077032,-0.13387,-0.0079508,-0.067452,-0.16671,-0.14052,-0.12061,-0.055264,-0.16194,-0.20715,-0.17611,-0.10938,-0.11157,-0.11636,-0.086858,-0.14513,-0.15793,-0.17797,-0.23195,-0.12077,-0.17628,-0.20051,-0.17331,-0.19031,-0.24003,-0.18454,-0.25228,-0.18032,-0.22092,-0.16261,-0.23269,-0.10488,-0.091679,-0.072648,-0.10852,-0.14424,-0.028816,-0.068266,-0.16632,-0.12688,-0.13012,-0.1153,-0.17215,-0.15548,-0.10453,-0.073991,0.002933,-0.083702,-0.10036,-0.11509,-0.079794,-0.13253,-0.08394,-0.10881,-0.08782,-0.1167,-0.16006,-0.15759,-0.15728,-0.13731,-0.10933,-0.20622,-0.1402,-0.12481,-0.20267,-0.15317,-0.14062,-0.23521,-0.22734,-0.21779,-0.16037,-0.22904,-0.1263,-0.11644,-0.072117,-0.16811,-0.20527,-0.13756,-0.12716,-0.095923,-0.1417,-0.1351,-0.076171,-0.17748,-0.15433,-0.16153,-0.16784,-0.14527
10,X,True,0.13647,0.18064,0.17251,0.18773,0.12359,0.12625,0.12006,0.1204,0.081548,0.11088,0.13423,0.1041,0.081191,0.10223,0.13046,0.20637,0.15138,0.14568,0.16363,0.17444,0.15698,0.15172,0.13185,0.13451,0.11589,0.11664,0.13357,0.099122,0.077091,0.020682,0.014185,0.020338,0.056631,0.044852,0.0074565,0.048119,0.059106,0.060854,0.082137,0.0441,0.1006,0.098243,0.11478,0.090833,0.089832,0.062436,0.090123,0.094455,0.11853,0.086894,0.1002,0.057212,0.073792,0.11906,0.11611,0.10835,0.10028,0.088632,0.10517,0.061566,0.097196,0.052784,0.057317,0.067461,0.11013,0.064713,0.077017,0.086105,0.057941,0.019387,0.061801,0.023469,0.068555,-0.0066561,0.076064,0.060104,0.10188,0.057488,0.041914,0.068426,0.028727,0.092239,0.08255,0.10906,0.098043,0.081418,0.051053,0.10873,0.056559,0.051698,0.00073895,0.044375,0.0091195,0.049611,0.048501,0.02201,0.054537,0.0064939,0.017237,0.053041,0.082101,0.044421,0.097924,0.081539,0.086346,0.075373,0.12962,0.094562,0.086045,0.10312,0.1097,0.10668,0.13738,0.09158,0.12933,0.12903,0.11902,0.090341,0.080855
11,X,False,-0.0080651,0.0166,0.044873,0.05679,0.054917,0.0019969,-0.0084533,0.038668,0.002197,-0.020192,-0.014327,0.011804,0.0055784,0.039048,0.076973,-0.052945,-0.059031,-0.020678,-0.010891,-0.041555,-0.049286,-0.074545,-0.12671,-0.13331,-0.1733,-0.14749,-0.20586,-0.12687,-0.20489,-0.18633,-0.22912,-0.24952,-0.24419,-0.21686,-0.28812,-0.31237,0.13857,0.13521,-0.30038,-0.36841,-0.27793,-0.28664,-0.2873,-0.34622,-0.32176,-0.29155,-0.30356,-0.1696,-0.27511,-0.29915,-0.25113,-0.20479,-0.1214,-0.1878,-0.35077,-0.23248,-0.25802,-0.24586,-0.22231,-0.33819,-0.2758,-0.33172,-0.30885,-0.30668,-0.26612,-0.33915,-0.3799,-0.28517,-0.40824,-0.39704,-0.3984,-0.37662,-0.14246,-0.099263,-0.2634,-0.10039,-0.16756,-0.2677,-0.22635,-0.035299,-0.0082459,-0.06306,-0.1793,-0.069388,-0.03889,0.037008,-0.099719,-0.17701,-0.043816,-0.098715,-0.15793,-0.13527,-0.041339,-0.017031,-0.14287,-0.0022074,-0.082544,-0.041862,0.10031,0.048301,0.023716,0.028066,0.025011,-0.051526,0.0081888,0.2717,0.2942,0.078177,0.075888,0.094295,0.06385,0.016114,-0.097514,0.013572,-0.019549,0.020789,-0.070847,-0.18441,-0.096927
12,X,False,-0.071349,-0.067366,-0.045246,-0.033926,-0.045122,-0.045574,-0.10488,-0.088682,-0.069164,-0.055075,-0.028677,-0.048938,-0.075736,-0.033396,-0.062393,-0.057547,-0.089092,-0.062,-0.10381,-0.049194,-0.11402,-0.12419,-0.11567,-0.10625,-0.054861,-0.087,-0.10815,-0.11862,-0.06899,-0.075534,-0.068565,-0.12333,-0.036175,-0.088553,-0.018385,-0.022137,-0.044692,-0.029959,-0.02764,-0.066167,-0.062878,-0.045701,-0.068687,-0.048484,-0.015727,-0.037932,-0.061776,-0.13661,-0.11335,-0.06996,-0.093994,-0.084637,-0.19583,-0.19121,-0.22588,-0.21217,-0.22571,-0.1675,-0.2191,-0.19061,-0.23259,-0.21824,-0.17352,-0.19718,-0.16411,-0.17809,-0.1606,-0.13446,-0.11805,-0.12336,-0.13741,-0.15303,-0.17831,-0.16537,-0.1115,-0.16651,-0.14343,-0.15097,-0.22787,-0.15475,-0.16619,-0.2283,-0.18826,-0.19406,-0.1466,-0.12359,-0.08797,-0.088059,-0.086867,-0.051167,-0.064522,0.0038392,-0.0162,-0.016841,0.0046417,0.010738,0.011055,0.00046547,-0.021191,-0.02061,-0.055576,-0.069538,-0.11568,-0.085247,-0.16698,-0.14029,-0.17738,-0.19879,-0.22162,-0.22112,-0.2045,-0.21377,-0.18475,-0.16849,-0.12483,-0.17895,-0.19241,-0.14061,-0.13412
13,X,False,0.23124,0.19962,0.13257,0.16393,0.15869,0.15265,0.14565,0.13804,0.095986,0.0772,0.096006,0.068889,0.1123,0.15532,0.085199,0.12229,0.11891,0.20977,0.15051,0.16403,0.11908,0.16334,0.16503,0.20024,0.13945,0.24096,0.186,0.204,0.19764,0.23248,0.1986,0.20154,0.21496,0.198,0.22534,0.24961,0.2658,0.24182,0.24418,0.22111,0.23569,0.20166,0.23128,0.18902,0.19102,0.21926,0.18099,0.19753,0.15495,0.12137,0.14122,0.15265,0.07642,0.10581,0.13844,0.11928,0.04417,0.048562,-0.0052296,0.025426,0.026841,0.026637,0.075437,0.15656,0.22342,0.18399,0.15399,0.23884,0.17143,0.22421,0.22903,0.21899,0.20229,0.21888,0.21541,0.21308,0.18944,0.18126,0.20116,0.16631,0.20359,0.1458,0.19245,0.14841,0.10976,0.18407,0.13354,0.19539,0.12205,0.085699,0.10415,0.094953,0.13802,0.082133,0.085736,0.16443,0.11951,0.14015,0.12463,0.1145,0.11254,0.088448,0.1567,0.1166,0.14942,0.15522,0.13152,0.14381,0.13833,0.16183,0.16041,0.18831,0.16081,0.19394,0.19777,0.16266,0.13164,0.19771,0.2665
14,X,False,-0.14417,-0.21463,-0.18271,-0.15557,-0.20316,-0.15774,-0.17459,-0.20582,-0.21451,-0.22873,-0.24107,-0.22292,-0.19753,-0.25422,-0.18663,-0.21196,-0.21774,-0.2344,-0.2209,-0.20076,-0.17175,-0.18505,-0.21664,-0.23775,-0.18036,-0.20341,-0.23164,-0.21166,-0.2202,-0.1595,-0.24046,-0.13811,-0.16257,-0.1631,-0.15534,-0.15888,-0.11998,-0.11361,-0.13986,-0.038958,-0.12057,-0.1221,-0.12888,-0.093817,-0.080467,-0.070366,-0.089902,-0.066262,-0.08047,-0.12228,-0.09041,-0.10487,-0.18165,-0.12446,-0.12877,-0.04707,-0.093463,-0.10184,-0.12246,-0.11693,-0.074147,-0.062617,-0.14253,-0.083064,-0.10639,-0.12885,-0.09617,-0.082478,-0.095968,-0.095898,-0.13481,-0.087374,-0.080995,-0.085907,-0.082975,-0.12689,-0.076203,-0.094842,-0.089172,-0.12467,-0.079896,-0.063238,-0.11651,-0.13048,-0.092523,-0.095253,-0.12515,-0.07503,-0.087033,-0.14872,-0.14192,-0.14132,-0.11477,-0.096725,-0.11135,-0.089901,-0.066551,-0.12799,-0.13761,-0.10767,-0.11041,-0.12959,-0.088384,-0.084972,-0.11705,-0.12878,-0.088691,-0.10696,-0.12756,-0.14516,-0.15189,-0.13515,-0.12659,-0.098976,-0.071639,-0.1002,-0.083367,-0.11145,-0.14999
15,X,False,0.18994,0.20608,0.19843,0.1938,0.19995,0.17046,0.19537,0.19073,0.21186,0.1365,0.1719,0.19625,0.2069,0.20491,0.21621,0.19884,0.19195,0.19601,0.2229,0.21018,0.2226,0.22041,0.19653,0.18586,0.18821,0.19666,0.18714,0.19676,0.18463,0.16472,0.15137,0.11347,0.17387,0.15868,0.13872,0.15356,0.16074,0.17339,0.16235,0.22015,0.18192,0.20361,0.23645,0.2256,0.20158,0.22801,0.1914,0.18583,0.21295,0.22036,0.19729,0.24652,0.20308,0.22399,0.23996,0.21267,0.21836,0.20056,0.21992,0.23069,0.20571,0.18542,0.19457,0.21575,0.21401,0.20599,0.22418,0.22973,0.24196,0.22392,0.16271,0.17815,0.16247,0.144,0.16065,0.18437,0.15372,0.15584,0.19061,0.14787,0.20099,0.18905,0.17995,0.19182,0.18395,0.2252,0.21912,0.18727,0.19963,0.1901,0.21054,0.19805,0.25097,0.21575,0.20507,0.20279,0.18707,0.17017,0.19172,0.20255,0.19177,0.22848,0.1981,0.16944,0.21241,0.18499,0.23246,0.22589,0.19301,0.18565,0.1751,0.17665,0.17128,0.175,0.15957,0.15899,0.14358,0.13805,0.14732
16,X,False,-0.080412,-0.065701,-0.05682,-0.03249,-0.15779,-0.1534,-0.022619,-0.1438,-0.02964,-0.1695,-0.20647,-0.073904,-0.012877,-0.073423,-0.16264,-0.053553,0.00025584,-0.12147,-0.12356,-0.037528,0.12316,0.049027,-0.10279,-0.025358,-0.12088,-0.20359,-0.23972,-0.31846,-0.23303,-0.34458,-0.18966,-0.20718,-0.33482,-0.17385,-0.056669,-0.1771,-0.094266,-0.092943,-0.10618,-0.19947,-0.17179,-0.21839,-0.25188,-0.35198,-0.38148,-0.21759,-0.31316,-0.29665,-0.25833,-0.24416,-0.22343,-0.13746,-0.17857,-0.20169,-0.21939,-0.095822,-0.20011,-0.13808,-0.30464,-0.30776,-0.086254,-0.29267,-0.35561,-0.18673,-0.039628,-0.10573,0.0015009,-0.018202,0.040975,0.09705,0.071093,0.1385,0.053566,0.067949,0.035704,0.025146,0.037031,-0.017826,-0.053444,-0.040238,-0.0082919,-0.042748,-0.11134,-0.047752,-0.040791,-0.061053,0.0003081,-0.072573,-0.099035,-0.013938,0.01612,-0.020286,-0.0054941,-0.010947,0.081254,0.024378,-0.009005,-0.024048,-0.02729,-0.062839,-0.040992,-0.079331,-0.04853,-0.047198,-0.027088,-0.012111,-0.040044,0.009038,-0.024374,-0.027842,0.013664,-0.045692,-0.049983,-0.0091429,-0.015575,-0.088447,-0.014835,-0.053372,-0.052737
17,X,True,0.29037,0.2678,0.24861,0.16838,0.22162,-0.050561,0.22607,0.24852,0.23482,0.16954,0.15833,0.14142,0.012742,-0.0030417,0.029494,-0.088846,-0.02674,0.054312,0.069232,0.17182,0.2887,0.05786,0.091665,0.19234,0.21545,0.2402,0.24625,0.24655,0.095788,0.17627,0.15557,0.25717,0.28606,0.18296,0.062506,0.22407,0.26585,0.12758,0.18319,0.15143,0.12132,0.17288,0.15041,0.31266,0.16571,0.10783,0.1266,0.11384,0.10326,0.0062645,-0.060284,-0.058634,-0.20844,-0.21577,-0.22446,-0.18468,-0.036089,-0.15885,-0.028968,0.0070804,0.0060651,0.059965,0.05839,0.097106,0.086777,0.18375,0.2224,0.082274,0.13881,0.17471,0.1936,0.11253,-0.025353,0.065471,0.054848,-0.090665,-0.11967,-0.10813,0.079086,0.059594,-0.0084771,0.055795,0.086383,0.14744,0.16876,0.18209,0.18261,0.30323,0.25802,0.33242,0.20629,0.17848,0.24149,0.24797,0.32169,0.21119,0.31114,0.29546,0.19561,0.21713,0.3218,0.28609,0.092685,0.19721,0.094004,0.05217,0.04038,0.046576,-0.030693,-0.072202,-0.16427,0.01282,0.064579,-0.079066,0.016516,0.10152,-0.096474,0.19486,0.24433
18,X,False,-0.066379,-0.057506,-0.05837,-0.070427,-0.036716,-0.068891,-0.104,-0.0349,-0.031451,-0.0098586,-0.087757,-0.060251,-0.11392,-0.075097,-0.08633,-0.15961,-0.14825,-0.21983,-0.34658,-0.31237,-0.40542,-0.33854,-0.21311,-0.26402,-0.17952,-0.10813,-0.20153,-0.23052,-0.21872,-0.091595,-0.059202,-0.058517,-0.087078,-0.12745,-0.20157,-0.14704,-0.058223,-0.10024,-0.15445,-0.12061,-0.18328,-0.23114,-0.20718,-0.25347,-0.23173,-0.31196,-0.35186,-0.28995,-0.34971,-0.33396,-0.39739,-0.42552,-0.33498,-0.37651,-0.36801,-0.29849,-0.31104,-0.23881,-0.33972,-0.28856,-0.29331,-0.27659,-0.29859,-0.27701,-0.30883,-0.37151,-0.32564,-0.31617,-0.38232,-0.34405,-0.40327,-0.35523,-0.28761,-0.33886,-0.23432,-0.25903,-0.21639,-0.23919,-0.16855,-0.19318,-0.12276,-0.10302,-0.10325,-0.13973,-0.11986,-0.12667,-0.13527,-0.11072,-0.16066,-0.19981,-0.22425,-0.24875,-0.19626,-0.22595,-0.30147,-0.23672,-0.15882,-0.19868,-0.16777,-0.13248,-0.1026,-0.15418,-0.14836,-0.06993,-0.11121,-0.11856,-0.098704,-0.098816,-0.074786,-0.10617,-0.054178,-0.10797,-0.04047,-0.11827,-0.090287,-0.12232,-0.12404,-0.091453,-0.13215
