,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10,MEANGBH_11,MEANGBH_12,MEANGBH_13,MEANGBH_14,MEANGBH_15,MEANGBH_16,MEANGBH_17,MEANGBH_18,MEANGBH_19,MEANGBH_20,MEANGBH_21,MEANGBH_22,MEANGBH_23,MEANGBH_24,MEANGBH_25,MEANGBH_26,MEANGBH_27,MEANGBH_28,MEANGBH_29,MEANGBH_30,MEANGBH_31,MEANGBH_32,MEANGBH_33,MEANGBH_34,MEANGBH_35,MEANGBH_36,MEANGBH_37,MEANGBH_38,MEANGBH_39,MEANGBH_40,MEANGBH_41,MEANGBH_42,MEANGBH_43,MEANGBH_44,MEANGBH_45,MEANGBH_46,MEANGBH_47,MEANGBH_48,MEANGBH_49,MEANGBH_50,MEANGBH_51,MEANGBH_52,MEANGBH_53,MEANGBH_54,MEANGBH_55,MEANGBH_56,MEANGBH_57,MEANGBH_58,MEANGBH_59,MEANGBH_60,MEANGBH_61,MEANGBH_62,MEANGBH_63,MEANGBH_64,MEANGBH_65,MEANGBH_66,MEANGBH_67,MEANGBH_68,MEANGBH_69,MEANGBH_70,MEANGBH_71,MEANGBH_72,MEANGBH_73,MEANGBH_74,MEANGBH_75,MEANGBH_76,MEANGBH_77,MEANGBH_78,MEANGBH_79,MEANGBH_80,MEANGBH_81,MEANGBH_82,MEANGBH_83,MEANGBH_84,MEANGBH_85,MEANGBH_86,MEANGBH_87,MEANGBH_88,MEANGBH_89,MEANGBH_90,MEANGBH_91,MEANGBH_92,MEANGBH_93,MEANGBH_94,MEANGBH_95,MEANGBH_96,MEANGBH_97,MEANGBH_98,MEANGBH_99,MEANGBH_100,MEANGBH_101,MEANGBH_102,MEANGBH_103,MEANGBH_104,MEANGBH_105,MEANGBH_106,MEANGBH_107,MEANGBH_108,MEANGBH_109,MEANGBH_110,MEANGBH_111,MEANGBH_112,MEANGBH_113,MEANGBH_114,MEANGBH_115,MEANGBH_116,MEANGBH_117,MEANGBH_118,MEANGBH_119,MEANGBH_120
0,X,False,77.032,77.983,78.456,77.285,77.846,77.209,76.979,75.615,75.668,75.677,75.705,74.292,74.487,73.89,74.337,74.245,74.746,73.917,73.307,72.424,72.245,71.692,71.228,70.536,70.719,71.707,71.616,71.685,71.857,71.363,71.408,71.892,72.578,72.657,72.332,72.67,72.475,72.545,72.638,72.974,72.563,71.773,71.57,72.21,71.667,71.457,70.787,70.784,70.354,70.198,69.465,70.257,69.896,70.055,69.824,70.086,69.845,69.571,69.541,69.486,68.88,68.471,68.213,68.346,67.993,68.2,68.187,67.937,68.137,67.895,68.047,68.55,69.191,68.846,69.276,69.06,70.013,69.828,70.077,70.407,70.405,70.077,69.806,70.461,69.742,68.742,67.999,68.021,67.047,66.982,66.981,66.628,66.747,66.354,66.212,66.086,66.437,66.8,66.362,66.698,67.265,68.051,68.225,68.419,69.027,69.342,69.463,69.332,70.092,70.191,70.233,69.868,69.7,69.572,70.537,69.847,69.793,69.732,69.663,69.518
1,X,False,72.767,72.836,72.742,72.625,72.476,71.903,71.951,71.819,71.611,70.733,70.66,71.185,70.878,71.055,70.651,70.993,70.954,70.371,70.776,71.25,71.501,71.368,71.542,71.155,70.906,70.739,70.262,69.958,69.548,68.996,68.675,67.523,67.387,67.511,67.101,66.54,66.403,65.898,66.057,66.51,66.844,66.898,67.739,68.759,68.62,69.103,69.65,69.6,69.531,69.66,69.79,69.459,68.977,68.628,68.337,68.112,67.524,66.966,66.898,66.603,66.565,65.85,65.931,66.473,65.892,66.149,66.136,65.754,65.608,65.818,65.89,65.836,65.963,66.332,66.525,67.052,66.682,66.71,67.018,67.177,67.643,67.97,68.138,69.033,69.525,69.502,70.057,70.234,70.628,70.741,71.831,71.928,71.44,71.259,70.643,70.751,70.254,69.932,68.933,68.366,67.97,67.998,64.524,68.763,68.957,68.8,68.894,69.542,70.091,70.554,71.347,71.528,72.208,73.01,73.21,73.53,73.28,72.9,72.892,72.461
2,X,False,43.583,43.314,43.31,43.411,43.413,44.212,44.314,44.205,44.153,44.346,44.235,44.404,44.121,44.297,44.006,43.91,43.524,43.576,43.366,43.15,43.188,43.122,42.686,42.43,42.23,42.333,41.939,41.866,41.78,42.412,42.48,42.283,42.204,42.118,42.195,42.482,42.212,42.181,41.922,42.136,42.237,42.078,42.131,42.492,42.649,42.671,42.96,42.734,42.636,42.478,42.737,41.922,42.077,42.171,41.676,41.558,41.284,41.489,41.421,41.721,41.502,41.598,41.706,41.873,41.942,41.932,42.102,42.297,42.157,42.313,42.385,42.412,42.281,42.638,42.558,42.603,42.465,42.236,41.677,40.95,41.901,40.535,40.939,41.143,41.269,40.792,40.981,40.785,41.099,40.885,39.981,39.688,41.154,41.48,41.143,41.534,40.357,41.957,41.865,42.154,41.302,41.899,42.378,42.677,42.264,42.269,42.126,42.271,43.269,42.727,42.474,42.464,42.366,41.469,41.23,41.336,41.129,41.131,40.004,39.773
3,X,False,68.637,69.47,69.624,69.945,69.497,70.11,71.31,70.927,70.188,70.1,69.802,70.722,70.838,70.673,70.19,70.575,70.852,71.021,71.336,71.64,70.853,71.194,70.95,70.982,71.518,71.72,71.963,71.395,71.472,71.05,69.934,69.16,69.204,68.498,68.592,67.561,67.43,67.041,66.858,66.752,67.888,69.102,69.561,70.484,70.015,69.309,69.736,70.688,71.375,71.513,70.716,70.836,71.788,71.563,70.413,69.529,68.782,68.153,68.189,68.074,67.77,67.972,68.339,68.605,68.199,68.407,68.386,69.034,68.735,68.413,69.16,68.955,69.024,69.089,68.999,68.944,68.943,69.288,68.929,68.41,68.629,68.062,68.462,68.329,67.651,67.411,67.299,67.523,67.001,67.541,66.737,66.76,67.047,68.06,69.45,70.492,70.722,71.068,71.389,71.578,71.114,70.55,70.109,69.609,67.99,67.607,66.456,65.409,64.558,63.593,64.069,64.053,64.564,65.774,65.521,65.898,66.576,67.65,67.027,67.693
4,X,True,69.928,69.586,70.441,70.751,70.922,70.149,70.51,69.82,69.844,69.147,69.491,69.318,69.632,69.656,69.392,68.827,68.607,67.945,68.489,68.526,68.677,68.981,68.785,68.733,68.075,68.636,68.041,67.948,67.906,67.384,67.41,66.371,65.36,64.507,63.102,62.9,62.229,62.028,61.426,61.702,61.882,62.202,62.486,62.641,63.233,63.961,64.496,64.804,64.661,64.648,65.077,64.531,63.324,62.478,62.003,61.218,60.387,59.858,59.572,59.711,60.17,59.861,59.01,58.724,58.981,58.983,58.977,58.787,58.808,58.307,58.563,59.306,58.435,58.596,58.036,58.538,58.721,58.506,58.564,58.274,58.21,58.87,58.203,58.369,58.33,58.443,58.61,58.822,59.118,59.479,59.873,60.913,61.891,62.502,62.667,62.832,62.525,61.438,59.84,59.428,59.3,58.55,57.752,57.635,52.271,56.694,56.609,56.963,57.7,57.582,58.151,59.136,60.056,60.484,60.985,61.359,60.792,61.103,61.046,60.911
5,X,True,47.191,43.037,47.18,45.205,42.439,44.302,46.165,45.734,45.814,45.922,44.538,44.879,45.575,46.159,45.553,45.658,45.558,45.349,45.268,45.328,45.043,45.127,44.792,45.795,45.659,45.779,46.142,46.471,46.724,46.675,47.115,47.059,47.658,47.941,47.937,47.998,48.13,48.641,48.668,49.02,48.531,48.485,48.14,48.1,47.65,47.361,48.102,49.242,48.016,48.673,48.663,49.091,49.39,50.037,50.658,52.199,51.487,51.972,51.518,52.192,51.156,51.146,50.822,51.687,50.668,50.592,49.981,51.698,50.533,50.735,50.817,50.523,50.768,51.133,50.131,49.972,49.582,50.032,49.347,49.937,50.481,49.955,50.267,50.518,50.217,50.305,50.603,50.535,51.13,51.477,51.298,51.723,51.843,52.328,52.232,52.541,52.642,52.772,52.486,52.475,52.608,51.873,51.831,50.762100000000004,49.693200000000004,48.624300000000005,47.555400000000006,46.48650000000001,45.4176,44.3487,43.2798,42.2109,41.142,49.776,51.857,50.954,52.826,53.355,51.453,52.91
6,X,False,39.934,40.32,41.281,40.263,41.194,40.751,40.811,40.672,40.577,40.507,41.048,41.072,40.656,40.766,40.625,40.809,40.915,40.802,40.843,41.037,41.237,41.491,41.348,41.786,41.538,41.381,41.398,41.291,41.814,41.871,42.195,42.504,42.675,42.376,42.768,42.033,43.003,42.626,42.808,42.806,43.005,42.33,42.359,42.547,41.739,41.897,41.895,41.875,41.86,41.701,41.988,42.037,42.073,42.231,42.438,42.585,42.319,42.962,42.986,43.08,43.629,43.438,43.232,42.806,42.426,43.382,42.798,43.043,42.918,42.921,43.158,43.006,42.225,42.712,41.878,42.578,42.628,43.099,42.506,43.29,43.324,42.828,42.959,42.896,42.679,42.983,42.897,42.872,42.857,43.344,43.202,43.712,43.57,43.653,44.071,43.884,44.06,43.713,43.797,43.983,43.786,43.268,43.447,43.235,43.329,43.195,43.179,43.102,43.96,43.542,43.657,44.109,44.263,44.638,44.799,45.101,45.235,45.255,45.384,45.764
7,X,False,30.516,30.638,30.314,30.553,30.206,30.392,29.809,29.788,31.052,30.18,30.361,30.541999999999998,30.723,30.49,30.723,30.868,30.788,30.813,30.395,30.109,30.329,30.192,31.265,30.459,30.604,30.745,31.516,31.041,30.917,31.203,31.248,31.35,30.944,30.797,30.536,30.643,30.499,30.33,30.422,29.763,29.759,29.735,29.908,30.326,29.77,29.554,28.933,29.579,29.865,29.678,29.611,30.436,30.864,30.348,30.459,30.404,30.144,29.833,31.089,29.526,30.235,29.831,30.419,29.809,29.699,29.693,30.297,28.587,29.182,29.252,28.97,28.188,28.838,28.274,28.461,27.961,29.266,28.366,28.813,28.907,29.549,28.822,29.27,29.08,29.575,30.104,30.182,31.294,30.373,30.314,30.275,31.119,29.699,29.904,29.518,29.542,28.329,28.12,28.551,28.354,27.911,28.488,27.729,27.35,27.497,27.667,28.778,28.474,27.92,28.175,28.175,29.418,28.718,28.454,28.233,29.198,27.814,27.299,26.692,26.223
8,X,True,43.407,42.791,42.537,42.434,41.737,41.973,42.245,42.072,42.751,42.476,42.608,42.622,43.172,43.715,43.627,43.994,44.256,44.148,44.179,44.393,44.343,44.105,43.974,44.068,44.42,44.178,44.547,43.82,44.75,44.288,44.865,44.34,44.415,44.059,44.201,44.563,44.908,45.232,45.799,45.598,46.54,47.212,46.6,47.136,47.612,47.054,46.97,47.37,47.525,47.596,48.11,47.685,47.876,47.382,47.999,48.242,49.071,48.706,49.031,49.177,49.673,50.404,50.164,49.858,49.978,49.948,49.765,50.037,50.09,50.85,50.577,50.284,50.015,50.021,50.203,50.023,50.417,50.589,51.382,51.795,52.311,53.229,53.607,53.57,54.265,54.562,54.035,54.272,54.652,55.67,54.952,54.838,54.895,54.988,54.136,54.263,53.286,53.328,54.084,54.147,54.334,54.584,54.518,55.23,54.928,55.294,55.865,56.267,56.838,56.966,56.487,57.041,57.031,57.175,57.428,57.489,57.362,57.497,57.259,57.574
9,X,False,59.814,60.255,59.904,60.302,59.895,60.067,60.44,60.837,60.315,60.779,60.331,60.482,60.682,60.807,60.313,60.153,60.041,59.504,58.999,59.119,59.29,58.754,58.727,58.312,58.415,58.576,58.747,58.788,59.335,59.493,59.646,60.257,60.28,60.931,61.049,61.407,61.24033333333333,61.07366666666666,60.907,60.161,59.862,59.893,59.388,58.859,58.375,57.944,57.603,57.818,58.196,58.163,58.565,58.363,58.861,58.815,58.515,58.514,58.577,58.55,58.866,59.341,58.742,58.946,58.945,58.985,59.153,59.234,59.068,59.244,59.208,58.948,59.434,59.439,59.243,59.24,59.561,58.962,58.982,59.163,59.482,59.132,59.503,58.946,59.171,59.255,59.012,58.637,58.918,58.859,58.86,59.583,60.132,60.446,61.045,61.287,61.775,61.958,62.123,61.751,61.911,62.0,61.723,61.284,61.083,60.324,59.896,60.064,59.976,59.979,60.56,60.717,60.766,60.646,61.154,61.429,61.771,62.146,62.64,63.139,63.348,63.269
