,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5,MEANGBZ_6,MEANGBZ_7,MEANGBZ_8,MEANGBZ_9,MEANGBZ_10,MEANGBZ_11,MEANGBZ_12,MEANGBZ_13,MEANGBZ_14,MEANGBZ_15,MEANGBZ_16,MEANGBZ_17,MEANGBZ_18,MEANGBZ_19,MEANGBZ_20,MEANGBZ_21,MEANGBZ_22,MEANGBZ_23,MEANGBZ_24,MEANGBZ_25,MEANGBZ_26,MEANGBZ_27,MEANGBZ_28,MEANGBZ_29,MEANGBZ_30,MEANGBZ_31,MEANGBZ_32,MEANGBZ_33,MEANGBZ_34,MEANGBZ_35,MEANGBZ_36,MEANGBZ_37,MEANGBZ_38,MEANGBZ_39,MEANGBZ_40,MEANGBZ_41,MEANGBZ_42,MEANGBZ_43,MEANGBZ_44,MEANGBZ_45,MEANGBZ_46,MEANGBZ_47,MEANGBZ_48,MEANGBZ_49,MEANGBZ_50,MEANGBZ_51,MEANGBZ_52,MEANGBZ_53,MEANGBZ_54,MEANGBZ_55,MEANGBZ_56,MEANGBZ_57,MEANGBZ_58,MEANGBZ_59,MEANGBZ_60,MEANGBZ_61,MEANGBZ_62,MEANGBZ_63,MEANGBZ_64,MEANGBZ_65,MEANGBZ_66,MEANGBZ_67,MEANGBZ_68,MEANGBZ_69,MEANGBZ_70,MEANGBZ_71,MEANGBZ_72,MEANGBZ_73,MEANGBZ_74,MEANGBZ_75,MEANGBZ_76,MEANGBZ_77,MEANGBZ_78,MEANGBZ_79,MEANGBZ_80,MEANGBZ_81,MEANGBZ_82,MEANGBZ_83,MEANGBZ_84,MEANGBZ_85,MEANGBZ_86,MEANGBZ_87,MEANGBZ_88,MEANGBZ_89,MEANGBZ_90,MEANGBZ_91,MEANGBZ_92,MEANGBZ_93,MEANGBZ_94,MEANGBZ_95,MEANGBZ_96,MEANGBZ_97,MEANGBZ_98,MEANGBZ_99,MEANGBZ_100,MEANGBZ_101,MEANGBZ_102,MEANGBZ_103,MEANGBZ_104,MEANGBZ_105,MEANGBZ_106,MEANGBZ_107,MEANGBZ_108,MEANGBZ_109,MEANGBZ_110,MEANGBZ_111,MEANGBZ_112,MEANGBZ_113,MEANGBZ_114,MEANGBZ_115,MEANGBZ_116,MEANGBZ_117,MEANGBZ_118,MEANGBZ_119
0,X,False,116.17,117.58,117.63,115.9,115.69,115.35,115.13,114.56,113.81,113.53,112.28,110.63,110.46,109.7,110.04,110.0,109.97,109.34,108.35,106.96,107.06,106.47,106.11,106.22,106.55,107.77,108.48,108.57,109.52,109.46,110.46,110.8,110.8,110.83,110.35,110.21,109.36,108.73,108.65,108.06,106.27,105.12,104.07,103.81,103.22,103.42,102.71,102.59,102.3,102.12,102.05,102.54,102.23,102.18,102.2,102.48,102.49,102.58,103.05,103.07,101.97,101.47,100.99,101.41,101.18,100.93,100.8,100.93,101.01,100.63,100.93,101.02,102.0,102.43,102.83,103.48,103.98,104.49,105.05,105.46,106.59,107.22,107.57,108.31,107.67,106.78,106.48,106.89,105.07,103.55,102.76,102.05,101.73,100.92,100.16,100.37,99.723,99.723,99.722,100.36,100.61,102.39,102.98,103.69,104.73,104.68,105.45,105.78,107.12,107.46,107.08,106.3,106.32,106.05,106.23,105.47,104.43,104.9,105.03
1,X,False,111.2,111.31,110.64,110.88,110.62,110.19,109.55,109.23,109.59,108.42,107.7,108.3,108.59,108.36,107.96,108.22,107.83,106.6,106.64,106.99,107.21,107.1,107.3,107.05,107.02,106.36,105.76,104.77,103.94,102.89,101.89,100.58,99.982,100.35,99.381,99.267,99.65,99.792,100.72,101.99,102.97,103.01,104.63,104.89,105.09,104.99,105.15,104.2,102.97,102.5,101.96,100.77,99.389,98.628,97.574,97.26,96.99,96.475,96.393,96.6,96.528,96.263,96.208,96.988,97.084,98.285,98.139,97.565,97.113,97.695,97.797,97.554,97.298,97.787,97.958,98.357,98.127,97.878,97.744,97.461,97.773,97.566,97.902,98.762,99.475,99.581,100.06,101.28,102.46,103.24,105.39,106.08,106.76,107.47,108.59,109.41,109.08,108.84,107.86,106.5,105.08,105.04,97.43,104.29,103.85,102.88,103.32,104.2,105.37,105.93,107.33,108.3,109.77,110.84,111.58,112.9,113.55,113.19,112.97
2,X,False,81.416,81.235,81.149,81.004,81.401,82.767,83.161,83.244,83.291,83.35,83.295,83.164,82.59,82.686,82.302,81.815,81.729,81.832,81.218,81.544,81.537,81.062,80.312,79.967,80.131,80.326,79.703,79.65,79.323,79.814,80.606,80.497,79.562,79.866,79.937,79.481,79.469,79.283,79.224,79.796,79.884,80.984,80.28,81.356,81.149,81.593,81.656,81.301,80.825,81.136,81.616,80.791,80.363,80.181,79.392,79.019,78.678,78.736,79.15,79.083,79.143,79.488,79.619,79.754,79.864,79.702,79.967,80.013,81.069,81.366,81.124,80.776,80.606,79.815,79.067,79.622,79.474,79.488,78.012,77.538,78.613,75.627,76.659,77.182,77.153,77.188,76.893,76.792,76.568,76.588,75.091,74.66,77.165,78.388,78.081,78.517,76.448,79.816,79.649,79.64,78.243,79.7,81.158,81.536,81.213,82.605,82.323,83.205,85.04,84.962,83.282,83.128,83.993,82.464,80.293,79.979,79.581,81.319,78.994
3,X,False,109.42,109.62,110.12,110.79,110.44,111.22,112.5,112.35,112.23,111.68,111.76,112.98,113.66,113.13,113.58,112.29,113.28,113.01,113.95,114.28,113.52,112.85,111.82,111.91,113.21,112.95,112.53,111.93,112.76,111.68,110.81,110.7,110.2,109.69,110.64,110.09,110.61,111.25,112.54,112.44,114.27,115.56,115.54,116.78,115.52,114.23,113.05,112.36,112.11,111.46,110.04,109.24,109.74,110.15,108.67,107.9,107.26,107.37,107.49,108.49,108.79,109.05,110.55,111.4,111.12,111.5,111.99,112.8,112.75,112.05,113.36,113.57,113.32,112.83,113.29,113.35,113.94,113.92,114.02,113.38,113.21,113.24,114.17,114.29,112.86,112.47,111.52,111.42,110.12,110.71,109.59,108.75,108.45,108.17,109.93,111.22,111.24,112.44,114.11,115.84,116.26,116.9,118.14,118.21,117.66,117.82,116.98,114.95,113.97,112.93,112.68,111.85,111.66,111.61,110.59,110.56,112.35,113.23,112.04
4,X,True,118.31,118.77,119.91,120.94,122.47,122.02,122.57,122.7,123.47,121.51,121.61,123.22,122.33,123.22,122.93,122.54,122.25,120.87,122.28,122.08,122.33,121.46,121.25,120.0,118.35,118.79,117.87,117.82,117.04,116.51,116.6,114.91,114.26,113.42,112.03,112.43,112.22,112.38,112.9,114.26,114.8,115.96,116.4,116.99,116.89,117.81,117.84,116.89,115.32,115.48,115.02,112.67,111.25,110.52,110.17,108.98,107.81,107.43,107.55,108.56,108.08,108.37,107.91,107.55,108.06,108.3,109.14,109.29,109.26,109.06,109.51,110.48,109.22,109.85,108.4,109.11,109.78,109.41,109.31,108.81,108.57,109.82,108.61,109.0,108.66,108.67,109.27,108.97,108.99,108.98,109.26,110.93,112.95,114.61,114.91,115.3,115.91,115.4,114.92,115.51,115.5,114.96,115.16,114.42,101.32,112.45,112.8,112.05,113.06,112.4,112.59,113.77,115.37,115.51,115.97,117.4,117.61,117.95,117.6
5,X,True,90.965,76.984,89.318,83.758,76.724,82.452,88.18,88.539,87.448,88.086,81.48,84.527,86.712,88.625,87.222,86.639,86.997,86.517,85.498,83.013,84.085,85.583,86.677,87.174,85.902,82.71,86.848,85.463,85.636,87.888,88.315,85.456,87.588,86.875,86.553,86.371,85.791,86.541,86.926,88.375,87.976,87.327,87.053,86.578,86.975,85.229,86.789,89.484,87.023,87.504,87.798,88.684,89.462,90.13,89.762,93.514,91.106,92.312,91.228,92.952,91.172,91.237,90.844,92.398,91.251,91.991,90.67,93.502,91.422,91.402,91.193,91.098,91.284,93.406,91.106,91.525,90.752,91.525,90.795,91.676,92.711,91.508,92.237,92.133,91.349,92.647,92.896,92.047,92.709,93.665,93.367,93.559,94.139,95.626,94.69,95.052,94.926,95.899,95.394,95.563,95.744,93.563,93.975,91.43759999999999,88.9002,86.3628,83.8254,81.288,78.75059999999999,76.2132,73.6758,71.1384,68.601,87.226,94.232,90.403,95.332,95.85,90.444
6,X,False,78.691,78.185,83.238,78.156,85.101,79.517,79.514,79.392,79.939,79.51,81.307,79.958,78.613,77.87,77.059,77.715,78.685,78.374,78.539,77.644,79.642,79.048,78.876,80.064,79.883,79.105,79.349,77.828,79.6,80.614,80.402,80.828,81.27,80.881,80.575,79.132,80.664,79.517,80.413,80.659,80.966,79.226,79.762,79.952,77.815,77.862,77.945,77.529,78.02,77.46,77.981,78.767,79.179,78.688,79.265,80.318,79.544,80.275,80.219,79.705,80.308,79.684,77.82,78.039,76.677,78.411,77.068,78.529,77.756,77.438,77.757,77.993,77.271,77.538,76.118,77.147,77.166,77.813,76.313,77.946,77.6,76.694,76.877,76.684,76.306,76.691,77.0,77.445,77.163,78.132,77.802,78.279,78.169,78.186,78.862,78.364,79.309,78.835,79.061,79.607,79.423,79.094,79.131,78.506,78.428,78.654,78.768,78.457,80.408,79.581,80.213,80.57,81.037,81.336,81.937,81.79,82.235,82.233,82.502
7,X,True,80.036,77.638,77.277,76.947,76.072,76.63,76.547,76.632,79.403,79.075,79.292,79.899,80.707,82.005,81.442,80.659,82.276,81.349,80.675,80.553,80.891,79.611,79.208,80.728,81.481,80.396,80.361,79.712,82.01,80.857,81.797,78.989,80.004,79.45,80.193,81.008,79.56,81.647,83.423,82.77,84.742,84.202,83.318,84.352,86.074,84.818,85.246,85.747,86.361,85.823,87.665,86.696,86.771,85.538,86.305,87.158,88.455,87.062,87.189,87.525,88.303,89.338,89.124,88.92,89.909,90.395,89.117,89.017,89.461,90.41,89.414,88.84,88.737,89.164,90.017,89.61,90.724,91.203,92.504,92.893,94.278,95.963,96.741,95.638,97.396,98.1,96.466,96.895,97.153,98.656,95.931,95.99,96.462,96.731,95.464,95.869,94.986,95.35,96.089,96.438,96.969,97.11,96.773,97.892,97.881,97.459,98.67,100.54,100.44,101.46,101.4,101.5,101.61,102.7,101.96,101.78,101.61,101.84,102.26
8,X,False,123.21,123.65,122.78,122.07,122.76,122.7,121.82,121.74,121.93,121.06,121.65,120.65,121.11,121.55,121.32,120.29,120.01,120.38,119.74,120.8,120.65,120.07,119.91,119.67,119.99,119.16,119.03,120.91,119.38,118.42,118.82,118.99,117.58,116.8,115.94,116.37,115.17,115.28,114.39,113.62,112.72,113.23,112.21,112.79,113.08,113.58,113.52,113.48,114.48,114.93,114.89,115.45,115.58,116.44,116.38,115.68,114.57,113.6,113.95,114.44,113.98,114.53,113.87,113.99,113.18,113.57,112.71,112.61,113.41,112.69,112.5,112.41,112.66,112.86,112.9,112.62,112.74,112.8,112.59,113.11,113.49,113.88,112.89,112.84,113.76,113.35,112.66,112.71,112.47,112.26,111.66,110.58,111.13,110.43,109.62,109.16,108.84,107.69,107.73,107.62,107.94,108.46,108.12,107.95,108.18,109.3,109.55,110.77,110.77,111.26,111.51,111.9,112.22,113.88,113.26,113.39,113.13,112.45,113.09
9,X,False,98.249,97.593,97.562,97.653,97.855,97.95,98.634,99.094,99.655,99.833,100.38,100.78,101.77,102.53,103.34,103.98,104.33,105.03,105.67,105.85,106.05,105.74,105.77,105.78,94.694,103.92,102.8,102.5,102.04,101.73,101.35,101.16,101.26,100.92,101.01,101.08,101.27,101.36,102.15,102.21,102.62,102.49,102.78,103.13,103.06,103.22,103.54,103.73,103.33,103.03,102.67,102.79,103.08,102.72,102.77,102.65,102.47,102.71,103.0,102.77,102.56,102.32,102.47,101.96,101.88,101.6,101.39,101.51,101.46,101.45,101.09,101.1,102.01,102.45,103.46,103.85,105.04,105.71,106.32,106.81,107.09,107.54,107.3,106.98,106.93,106.42,105.13,104.58,104.43,103.61,103.58,103.25,102.74,102.21,101.92,102.08,101.66,101.36,101.15,101.32,101.15,100.91,100.71,100.73,100.24,100.27,100.03,100.16,100.49,100.38,100.1,99.68,99.86,99.687,99.817,99.805,100.36,100.59,100.59
